protein_id,gene,temporal_class,Physicochemical_PC1,Physicochemical_PC2,Physicochemical_PC3,Physicochemical_PC4,Physicochemical_PC5,Physicochemical_PC6,Physicochemical_PC7,Physicochemical_PC8,Physicochemical_PC9,Physicochemical_PC10,ProtBERT_PC1,ProtBERT_PC2,ProtBERT_PC3,ProtBERT_PC4,ProtBERT_PC5,ProtBERT_PC6,ProtBERT_PC7,ProtBERT_PC8,ProtBERT_PC9,ProtBERT_PC10,Combined_PC1,Combined_PC2,Combined_PC3,Combined_PC4,Combined_PC5,Combined_PC6,Combined_PC7,Combined_PC8,Combined_PC9,Combined_PC10
YP_009137083.1,UL9,Early,2.231485,-0.216715,-0.489781,-0.289248,0.162724,-1.154079,0.754852,-0.137397,-0.680159,0.509633,-0.900379,-0.605714,-0.057052,0.274316,-0.135204,0.021674,-0.119396,0.113297,-0.114994,-0.077697,-13.40963,-14.303981,7.553454,-1.854566,-1.534369,1.310897,3.466368,-2.555556,1.843241,1.597101
YP_009137084.1,UL10,Late,2.113103,-2.994497,1.271929,-0.145264,-0.509822,-0.317486,-0.560959,-0.062001,0.306172,0.817426,0.384772,0.108714,-0.407297,-0.376472,0.069646,0.255445,-0.335086,0.099327,0.06607,0.024221,7.335558,-3.11786,-9.026875,-6.351497,17.954056,-6.125004,4.464537,-4.065797,-4.563281,-5.242601
YP_009137085.1,UL11,Late,-2.253168,0.955676,-3.089834,-0.834897,2.736377,-0.182003,0.552434,-2.319137,-1.666338,0.755093,0.452404,0.089438,0.670524,-0.061958,0.009888,0.072863,0.154917,0.221238,0.008296,0.001971,4.440535,14.075343,0.381426,-5.0273,-17.638875,-4.582157,7.419488,-1.268178,-4.141623,2.752636
YP_009137086.1,UL12,Early,-0.799815,0.96788,-0.154983,-0.802567,-0.620313,0.7314,-0.599452,-0.491983,-0.679916,-0.008953,-1.932734,0.129406,-0.143985,-0.014098,0.014002,-0.291704,0.215455,0.300301,0.132123,-0.102709,-28.450745,-2.233376,1.780022,8.0278,-4.284391,-6.522845,-10.19152,-9.788315,-4.320027,-0.670968
YP_009137087.1,UL13,Early,1.517827,-1.064013,-1.664787,1.165882,-1.479294,-0.787698,0.39977,-0.234117,0.579731,1.679226,0.281174,-0.475924,0.128649,-0.029974,0.186786,0.102412,-0.048231,0.137238,-0.07389,-0.231791,-0.370272,-7.517353,5.013774,-5.448212,-2.157366,-6.803048,8.842415,-2.299719,0.155175,1.435725
YP_009137088.1,UL14,Late,-1.525696,2.693482,-0.102206,0.010969,1.61339,0.555514,-2.347336,0.497635,-0.222773,-0.188522,0.663718,0.105381,-0.148718,0.169064,0.013117,0.149677,0.286897,-0.192946,0.033611,0.047564,9.871601,4.797925,-2.322976,-6.493426,-1.127849,1.227726,-10.47983,5.041272,5.301785,-10.837233
YP_009137089.1,UL15,Late,3.563757,0.498583,-0.878535,1.280589,-0.608945,-1.156779,0.044322,0.637297,-0.25739,0.262012,-1.670693,-0.638375,-0.133635,0.287723,-0.044618,0.100736,0.030172,0.040694,0.05644,0.072104,-17.666325,-17.845871,7.446371,-8.154429,-2.513063,3.487816,-3.286353,-1.777371,0.051204,3.86975
YP_009137090.1,UL16,Late,-0.371676,-1.445087,-0.065432,-1.592014,-0.498934,0.955572,0.62527,0.60965,-1.786889,-0.500893,0.842515,0.202271,0.827932,-0.039412,-0.856335,-0.093534,-0.050843,0.097548,-0.029851,-0.055168,6.497941,16.63164,-11.908964,9.843523,-20.45662,17.755923,9.975066,-4.434853,-8.702192,-1.426786
YP_009137091.1,UL17,Late,-0.248924,-0.531028,1.933618,-0.063155,-0.182735,0.157154,0.490713,0.390266,0.771265,0.783026,0.644137,0.195276,-0.24009,0.138937,-0.200254,-0.130017,0.090518,-0.131677,0.029643,-0.067544,10.87665,-1.436103,-1.357928,5.159281,1.830274,5.892886,-7.226377,2.275839,3.191211,-0.321034
YP_009137092.1,UL18,Late,0.517585,-0.380473,0.246835,-0.017481,1.241528,-1.323639,0.610113,0.410961,0.746927,-1.852836,0.91196,-0.17156,-0.193934,-0.102299,-0.050522,-0.05684,0.043503,-0.261634,0.142237,-0.068918,12.870391,-10.154796,-5.690042,1.185106,-0.438318,2.45813,-5.06877,9.703389,0.478839,4.29447
YP_009137093.1,UL19,Late,3.020471,1.469744,2.009076,1.168557,-0.08543,-1.560437,-0.061561,-0.969774,-0.15796,0.768442,0.842972,-0.261979,-0.091512,-0.167897,0.005178,-0.155281,-0.089357,-0.309597,0.245297,0.079973,12.229314,-12.342667,-5.560396,6.12839,2.836759,1.261369,-3.90087,12.939721,-5.646421,7.118642
YP_009137094.1,UL20,Late,3.517366,-1.410761,0.923282,-2.882287,1.010678,-0.584909,-1.771213,-0.140215,0.579731,-1.470416,0.61783,-0.290896,-0.105641,-0.365338,0.056552,0.032966,-0.361305,0.257449,-0.042159,0.026597,6.576791,-8.452835,-5.271587,1.854952,7.922489,-8.34124,11.223332,-7.848616,-4.51977,-3.687743
YP_009137095.1,UL21,Late,0.58534,-0.069509,0.629091,-0.424607,-0.217126,-0.472211,0.636292,0.558878,0.956406,-0.304512,0.695917,-0.094724,-0.126188,0.065774,0.036404,-0.175646,-0.026667,-0.130628,-0.014597,0.049695,10.266232,-6.762962,3.27116,5.786229,1.796218,1.193844,-0.866871,3.822947,2.55791,1.390851
YP_009137096.1,UL22,Late,1.486257,0.067617,1.430502,-0.313081,-1.103599,-0.846632,-0.792429,-0.291149,-0.228234,-1.207255,0.676247,0.010303,-0.094845,-0.038306,-0.107825,-0.292949,-0.217402,-0.094709,0.022672,-0.097053,10.154019,-5.544134,0.84107,12.753139,4.701698,4.835103,3.984139,2.145458,-0.898395,-0.511979
YP_009137097.1,UL23,Early,0.567265,-0.573523,-0.329101,2.006632,0.994866,-0.162722,-0.6161,-0.024935,1.424074,-0.310356,-3.995978,-0.05625,-0.222893,-0.292604,-0.162114,-0.308371,0.370322,0.278335,0.732321,0.23555,-45.962907,-9.936776,-10.914861,8.184413,-6.716596,-5.872001,-26.327184,-9.617679,-21.908723,-4.039009
YP_009137098.1,UL24,Late,-1.125017,-0.462849,-2.365334,0.657545,-0.928391,-0.382163,3.452394,2.40269,-0.318066,0.317491,-0.883603,-0.194548,-0.202808,0.095768,0.326605,0.148683,0.247984,0.178677,-0.252453,0.002769,-16.80093,-7.174887,7.20453,-11.093085,-2.024067,-5.423982,-2.003825,-8.097954,9.195991,6.048439
YP_009137099.1,UL25,Late,1.962253,0.919545,0.945572,0.740241,1.37513,-0.315336,-0.95268,0.276722,0.752715,-0.212268,0.679454,-0.174093,-0.09533,0.065301,0.051167,-0.252586,-0.067252,-0.075004,0.087957,0.111874,10.735551,-8.037087,3.871497,8.920624,0.95521,-1.130286,-1.43166,4.102091,-1.13991,1.269562
YP_009137100.1,UL26,Late,-0.783539,0.755715,1.436311,1.148639,0.227616,1.513571,-0.597515,-1.289356,0.948838,0.24496,0.284317,0.346444,0.023691,0.183596,0.326883,0.035527,-0.219089,-0.066975,0.2557,-0.12586,5.871036,8.519906,11.700881,-0.303973,10.033592,-7.180342,-1.969611,6.830202,-8.596905,2.485753
YP_009137101.1,UL26.5,Late,-1.46192,-0.015101,1.157236,2.87524,0.030888,2.740837,-1.285688,-3.143661,2.109925,0.250542,0.005519,0.72538,0.11511,0.148387,0.582334,0.1589,-0.430489,-0.167399,0.516735,-0.223939,3.810494,19.07957,16.184613,-3.276176,19.087323,-11.457318,-2.334845,13.991163,-18.44997,3.673347
YP_009137102.1,UL27,Late,2.916773,1.568411,-1.455601,0.629359,-0.914573,-0.885825,-0.166794,0.300373,0.001138,0.662684,0.506647,-0.423612,0.178154,-0.119203,0.334566,-0.137506,-0.138972,-0.147663,-0.012908,0.313887,6.742119,-7.207937,3.147469,4.889451,0.544934,-6.679087,4.518933,6.653235,-1.064642,6.153743
YP_009137103.1,UL28,Late,1.060929,1.639089,1.249144,0.241653,1.130019,0.270929,0.098495,0.815882,-0.351955,0.443897,0.591915,-0.008548,-0.205875,0.204119,-0.033395,-0.304234,-0.005003,-0.085652,-0.076305,0.139617,9.666414,-4.822937,5.201792,10.88849,2.318674,2.972624,-3.220625,0.816048,4.330248,-1.454933
YP_009137104.1,UL29,Early,2.831934,1.87276,1.035857,0.584053,0.467637,-1.02666,0.761769,-0.460935,-0.571808,0.369273,0.701767,-0.348795,-0.044028,-0.063655,0.167329,-0.235831,-0.067988,-0.148686,0.008804,0.191153,8.595609,-11.48156,0.41871,7.931231,0.901953,-0.882681,-0.736064,4.427753,-0.110515,6.537287
YP_009137105.1,UL30,Early,3.089842,2.237809,0.341717,-0.191045,-0.453249,0.55234,0.745875,1.089737,-0.12131,1.468204,-1.759054,-0.343336,-0.262886,0.215712,0.004763,-0.145295,0.150913,0.108353,-0.009673,0.085586,-23.196571,-14.44281,7.905623,0.290274,-1.110607,2.501247,-5.327085,-5.381352,-2.338766,3.784637
YP_009137106.1,UL31,Late,1.578534,-1.052008,-1.111987,0.26342,0.589678,0.745948,0.065106,0.455305,0.937756,1.601703,0.819318,-0.296564,0.062855,-0.052441,-0.025936,-0.10814,0.071488,-0.054517,0.012205,-0.023534,9.4456,-7.237032,-3.497963,3.180644,-3.640925,-0.697079,-0.325733,1.214396,0.162103,0.890212
YP_009137107.1,UL32,Late,1.31778,0.391075,0.849324,-0.699369,0.386,0.851573,0.19942,0.700397,-1.793614,0.158534,0.619626,-0.092966,0.012175,0.167664,-0.147266,-0.37818,-0.119458,0.075321,-0.151067,0.111512,8.520908,-2.969707,5.190992,15.415903,-0.963318,5.060975,3.032756,-5.761261,3.08596,-2.01168
YP_009137108.1,UL33,Late,0.400599,1.948228,-0.850213,0.266393,1.231145,-0.103412,-1.919888,2.632357,-0.446896,-0.77446,0.7242,-0.204785,-0.073,-0.031634,-0.034486,0.022245,0.432571,-0.081277,-0.052339,0.04801,9.135185,-4.394681,-7.264119,-4.4328,-10.760206,-1.437759,-6.724314,1.545492,7.772424,-4.059781
YP_009137109.1,UL34,Late,-0.093741,-1.825091,0.62475,0.94079,1.076816,-0.236244,-0.123884,1.735709,0.337284,0.24573,0.909107,-0.03507,-0.201536,-0.1861,-0.192283,0.094099,0.166015,-0.023995,0.002884,0.021406,9.311191,-3.823357,-12.560845,-3.452197,-0.812238,2.27571,-7.063223,-0.463447,0.69266,4.537167
YP_009137110.1,UL35,Late,0.601242,-1.834063,-0.841455,4.118431,0.034598,-3.794516,-2.469966,-1.15334,0.794867,-1.189084,0.723501,-0.094376,0.084492,-0.264151,-0.26288,0.081511,0.243808,-0.057205,0.224908,-0.096071,9.642057,-0.842337,-15.338944,-4.414484,-10.340808,5.00828,-2.591343,4.590121,-7.118117,2.871725
YP_009137111.1,UL36,Late,0.600156,5.804741,4.568462,0.325589,-3.235238,-1.174598,2.644651,-1.59701,-0.191687,0.615383,0.185702,0.276116,-0.138817,0.142516,0.07519,-0.039185,0.057307,-0.123665,0.015481,0.016362,4.361905,3.536421,4.094729,1.980621,2.793973,2.229304,-6.006843,2.223741,2.946325,-2.275897
YP_009137112.1,UL37,Late,0.670325,1.576243,1.640867,0.225374,-0.031973,-0.602105,0.819241,-0.748596,-0.156353,-1.03637,0.737503,-0.078655,-0.16362,0.041649,0.003712,-0.147606,-0.079791,-0.102126,0.008674,-0.06202,9.932521,-5.571518,1.300411,6.392577,3.63373,1.587888,-0.580124,1.785329,1.432689,-4.087121
YP_009137113.1,UL38,Late,-0.568129,-0.595415,0.959206,1.029518,0.370707,-0.69398,-0.568984,1.037529,-0.954118,-0.140402,0.733459,0.128743,-0.197726,-0.017146,-0.248363,0.050024,0.22516,-0.204386,0.073153,-0.123765,10.792128,-0.680214,-10.144328,-1.757841,-1.588836,4.620161,-8.896687,5.928158,3.287782,-2.453434
YP_009137114.1,UL39,Early,1.84129,1.798812,-0.265534,-0.304645,0.301465,-0.465417,0.9399,-1.022731,-0.633072,0.819704,-1.398236,-0.496273,-0.019293,0.515211,-0.173699,0.232474,-0.212644,-0.05587,-0.030782,0.059488,-11.450094,-11.264546,13.082085,-10.547762,1.177339,11.264567,5.433639,3.016849,-0.346305,-1.103951
YP_009137115.1,UL40,Early,3.756864,1.235255,-2.387449,-1.291885,0.616234,1.437025,-0.247152,-0.384971,1.425303,0.169459,-2.179017,-0.950689,-0.180977,0.825702,-0.334103,0.575501,-0.382537,-0.205945,0.036457,-0.008305,-24.05949,-24.231439,18.297286,-25.658968,2.906515,27.359614,9.117093,6.114098,-8.55943,-13.537861
YP_009137116.1,UL41,Late,1.47982,0.369615,-2.377232,-0.456723,-0.697471,1.047277,-0.422949,0.381739,0.233661,0.566712,-0.470336,-0.425202,0.16549,0.025749,0.24123,0.008525,0.026327,0.12784,-0.017403,-0.142789,-10.241835,-5.936102,6.778031,-2.615718,-3.90828,-9.636149,2.225815,-0.467548,-0.390976,-1.922429
YP_009137117.1,UL42,Early,0.170015,1.622049,-0.561326,0.609893,-0.288955,-0.328409,0.732346,-0.370194,-0.920275,-2.554068,-1.806406,-0.002166,-0.001245,0.096389,0.190046,-0.101182,0.122459,0.222911,0.089172,-0.105852,-24.564629,-3.302955,6.140305,1.953516,-6.033196,-8.649777,-5.400172,-4.931731,-0.195495,-1.691763
YP_009137118.1,UL43,Late,-0.540219,-2.868937,3.688467,-0.295281,-0.172373,-0.272176,-0.047261,0.796586,-0.307727,-0.417855,0.345584,0.422937,-0.748517,-0.345182,-0.296182,0.340103,-0.187195,0.122562,-0.060964,-0.037844,6.827128,1.188996,-16.544036,-8.04882,20.285972,5.134548,-3.794495,-10.237292,1.932478,-3.179012
YP_009137119.1,UL44,Late,0.095284,-0.732906,-1.259325,1.194035,-1.869177,0.440147,-0.033268,-0.857748,-0.988787,-2.226754,-2.72171,0.105555,0.382179,-0.178681,-0.321412,0.04111,-0.192659,-0.376655,-0.243687,0.029699,-37.398081,10.500841,-12.118653,5.773318,3.83144,8.917059,9.609628,8.605317,6.34377,-2.492914
YP_009137120.1,UL45,Late,-0.491894,-3.172654,1.479986,-1.295945,0.026195,2.24731,0.961539,0.519324,0.712311,-1.286646,0.612381,0.037764,-0.292287,-0.371826,0.020626,0.303071,0.116953,-0.019546,-0.033065,-0.010138,6.980641,-2.504176,-15.734549,-10.508587,6.162778,-2.891842,-1.337297,-2.074384,2.260417,5.025835
YP_009137121.1,UL46,Late,-0.73651,0.474765,-0.05157,-0.358129,-1.121003,-0.394149,-0.875841,-0.121266,0.369277,0.611325,0.652401,-0.021252,0.113667,0.12321,0.025927,-0.137596,-0.076379,0.10848,-0.007756,-0.074569,8.432791,1.017745,6.638916,5.655505,-1.861841,-2.289219,3.022615,-2.331197,0.605509,-4.672486
YP_009137122.1,UL47,Late,-1.657218,0.55898,2.334318,-0.930872,0.107208,-1.203463,-0.022075,1.07184,0.606973,0.744392,0.650106,0.273222,-0.424583,0.163571,-0.094677,-0.122982,0.031253,-0.095071,-0.011409,-0.015184,12.155956,-2.728148,0.893816,4.542654,6.954474,3.192092,-7.036463,0.646635,5.060647,-4.452961
YP_009137123.1,UL48,Late,1.56337,2.041025,-0.007065,-1.354488,2.430389,-0.517933,-2.573197,-0.530737,0.052814,0.467714,0.696688,-0.138557,0.099619,0.181718,0.165529,-0.228703,-0.121991,0.020474,0.102869,-0.10254,9.966689,-3.578169,11.251038,7.486909,-1.96084,-6.840682,1.126059,3.452666,-1.609168,-10.382126
YP_009137124.1,UL49,Late,-3.809909,1.29646,-1.340385,0.350768,-1.116336,-1.005243,0.063388,0.519267,0.898036,-0.251363,0.25257,0.364315,0.200809,0.275069,0.531238,0.066292,0.168537,0.015628,-0.16006,0.088877,2.865495,11.631507,14.910773,-4.614544,-3.561287,-11.617373,-0.355824,-0.880144,8.465415,-0.947848
YP_009137125.1,UL49A,Late,-0.797802,-2.70618,2.856105,3.1627,5.523248,1.316734,3.069827,0.705189,-0.748043,0.42677,0.1704,0.411144,-0.084223,-0.160029,-0.209146,-0.132742,-0.356708,0.397649,-0.208202,0.398404,3.427513,10.695743,-2.264942,8.760159,8.731474,7.854792,8.818136,-18.513002,-3.391271,12.90886
YP_009137126.1,UL50,Early,-0.314821,-1.311358,1.090475,0.142321,-0.167635,-0.763208,-0.09186,0.449854,-0.549047,-1.147711,-0.240823,-0.142203,-0.356612,0.021926,-0.012135,0.123277,0.225388,0.061099,-0.169682,-0.218166,-5.332202,-9.777568,0.541477,-8.143088,-0.334879,4.267048,-0.201021,-1.527908,5.312133,16.637806
YP_009137127.1,UL51,Late,-2.268497,0.60639,0.418274,0.079046,2.461597,0.552677,0.572211,-0.708611,-0.433238,-0.069216,0.568058,0.135731,-0.291469,0.007638,0.219441,0.171805,0.207669,-0.124472,-0.024628,0.110673,7.264582,0.04864,-1.792968,-7.60555,3.482397,-2.807274,-9.018931,2.020043,6.224677,0.297154
YP_009137128.1,UL52,Early,1.864055,1.413692,0.952485,0.311158,-0.464195,0.758971,0.138784,0.059604,-0.248859,0.578721,0.65187,-0.1623,-0.015909,0.083567,-0.01805,-0.275288,-0.04398,-0.070353,0.043391,0.026042,10.538785,-6.703924,3.350751,10.09513,-0.965003,-0.493321,0.186255,3.033003,-0.054048,-0.584868
YP_009137129.1,UL53,Late,3.771612,-4.347949,-0.533933,0.136096,-0.652515,-0.282211,1.273433,0.552354,0.580384,-0.019245,0.670617,-0.47846,-0.079089,-0.496455,0.022898,0.003018,-0.425424,0.206645,0.002148,0.083585,7.388379,-12.498348,-9.031368,3.335623,8.91537,-6.588285,13.30828,-7.849672,-6.771066,1.396409
YP_009137130.1,UL54,Immediate-Early,-2.071726,1.757333,-0.289274,-0.393594,1.009786,1.161675,0.220493,0.115832,-0.019448,0.570359,0.558278,0.222066,0.185778,0.207577,0.117979,-0.012713,0.083886,-0.056053,-0.015553,0.046863,6.079777,9.331108,6.349776,-0.044453,-4.384725,-1.84191,-3.793909,2.018016,2.113917,0.360831
YP_009137131.1,UL55,Late,1.942608,-2.012251,-3.042799,0.209916,-1.172531,1.65837,-0.316699,-0.144411,-1.893019,2.121429,0.765301,-0.473687,0.584452,-0.199429,-0.116988,-0.123176,0.033549,0.115793,0.065705,-0.014517,7.005326,-2.576385,-6.030836,5.647086,-15.052301,-2.576803,9.778343,-1.060883,-6.798017,1.119582
YP_009137132.1,UL56,Late,-2.569816,-0.397328,0.223925,-0.498744,-0.858505,-0.149306,-0.156895,0.681713,2.453309,-0.782502,0.208485,0.338065,0.025323,0.119522,0.497309,0.047999,-0.133973,0.21372,0.052166,-0.057893,3.186577,9.897998,15.548525,-4.573138,5.540271,-10.074298,2.464428,-3.351814,-3.062975,-0.723318
YP_009137135.1,RS1,Immediate-Early,-2.929517,2.685154,4.459909,-1.463541,-0.22345,0.614712,-0.678623,0.072368,0.085489,0.805485,0.362494,0.708701,-0.342317,0.503861,-0.171045,-0.26252,-0.007171,0.078577,-0.041028,0.015325,9.649395,10.278457,12.997493,11.151078,6.080717,8.69064,-9.788156,-5.986397,4.746907,-4.171284
YP_009137136.1,US1,Immediate-Early,-2.604695,2.742351,-2.35167,-2.588937,0.703139,0.396458,0.50974,-0.059834,-0.703176,-0.271732,0.36936,0.064006,0.330725,0.199155,0.330561,0.051378,0.137879,0.099533,-0.133787,-0.099166,3.191348,8.215119,11.25615,-5.064966,-9.624581,-12.061075,2.38858,-0.235607,8.020817,-8.651753
YP_009137137.1,US2,Late,-0.489313,-1.761381,-0.978954,-0.945456,-0.811252,-0.362242,0.116102,0.291747,-1.232222,-0.698204,0.804954,-0.097846,0.129494,-0.153685,-0.244834,0.118752,0.197325,-0.036089,0.036083,-0.234286,9.079205,-0.030285,-10.730557,-4.365401,-8.024568,1.911984,-0.093002,1.990613,0.483598,-1.605081
YP_009137138.1,US3,Early,0.928934,1.696132,-1.591246,-0.225736,0.353944,2.519029,-0.071531,0.136935,0.306709,0.393701,-0.061745,-0.401275,0.154936,0.097626,0.259949,0.190097,-0.02144,0.086889,-0.040392,-0.142705,-1.580546,-2.668119,9.736896,-9.377981,-2.187041,-9.468154,6.044065,1.906256,0.717576,0.271062
YP_009137139.1,US4,Late,-1.746274,0.518251,-2.891428,1.810863,-0.196255,-0.084245,0.573728,-1.611079,-2.586018,-2.440421,-2.771071,0.472497,0.274799,-0.839662,0.214672,-0.200322,0.037989,-0.410298,-0.290439,0.003629,-43.554232,15.857021,-19.968614,10.565624,2.036354,-4.653342,7.082118,14.868781,10.870432,1.025528
YP_009137140.1,US5,Late,-0.99376,-6.299144,2.919089,-0.803794,-0.186713,-1.054207,-0.446977,-1.480835,-2.537227,1.307537,0.345281,0.526204,-0.471074,-0.512158,-0.348541,0.459574,-0.22989,0.170473,0.031089,0.012879,8.730706,7.689798,-22.520735,-11.560867,18.435285,4.370226,2.83708,-11.85775,-4.330284,-4.928083
YP_009137141.1,US6,Late,1.74556,-0.44045,-1.382174,0.631708,-0.493994,1.642942,0.397088,-0.079523,1.961049,-0.313769,-1.182346,-0.168203,0.165212,-0.490738,0.303879,-0.0191,-0.141332,-0.102321,-0.258337,-0.043272,-23.192248,1.351345,-6.630854,2.028271,7.592716,-5.574169,9.359548,3.058281,4.107213,3.544612
YP_009137142.1,US7,Late,-0.812179,-1.423334,-1.259609,0.856888,-1.528765,0.451044,1.084727,-1.004348,0.430013,-1.233191,-2.485494,0.393449,0.073934,-0.531096,0.044556,-0.181512,0.024048,-0.080714,-0.040317,-0.123963,-36.558998,8.901896,-11.034108,9.181078,2.293376,-4.263992,1.251638,4.315245,1.546885,-2.734628
YP_009137143.1,US8,Late,-1.000745,-0.350702,0.188008,-1.628161,-0.927837,1.116886,0.156736,-1.917441,-0.375183,-1.074046,-2.237982,0.270415,0.138911,-0.038151,-0.241981,-0.070908,-0.178179,-0.197284,-0.229651,-0.22429,-34.088502,7.572716,-3.476607,7.639779,6.238279,3.436962,7.462968,6.399002,6.898901,-4.500334
YP_009137144.1,US8A,Late,-2.549228,-1.736877,0.704809,-0.620009,-0.931594,1.436725,-1.224838,-0.057006,1.440075,-0.569075,0.78969,0.313031,0.248466,-0.091142,-0.16923,0.265255,0.119655,0.168098,0.091462,-0.117465,9.327038,12.962999,-5.993112,-7.529872,-7.364275,-0.371459,-0.898665,-4.577803,-3.189083,-4.584673
YP_009137145.1,US9,Late,-2.599002,-1.803493,-2.356026,-4.101139,2.133794,-3.361211,2.546625,-2.343789,3.348298,0.545759,0.336412,0.000866,-0.201714,-0.288534,0.251518,0.313695,-0.0083,0.244904,-0.100594,0.014946,4.704415,1.430596,-5.56946,-13.238716,5.831051,-12.171515,3.232176,-7.659356,5.71722,-6.957563
YP_009137146.1,US10,Late,-0.414746,-2.231661,-0.73939,1.394219,-0.624751,0.658837,-1.93781,-1.859965,-0.760433,2.480435,0.408736,0.173416,0.632603,0.051063,-0.143794,0.151144,-0.285077,-0.116523,0.317296,-0.086048,7.804825,16.337032,1.712038,-0.762954,-1.814111,2.968612,5.566841,9.733739,-15.254072,-6.808936
YP_009137147.1,US11,Late,-7.146393,0.743703,-1.582085,2.755055,-0.450408,-0.528241,0.716454,2.023304,0.634039,0.721672,-0.242025,0.698173,0.552431,0.270285,-0.012061,0.599876,0.051076,-0.209116,0.101685,0.489069,0.675881,30.94508,2.614199,-19.352208,-1.116904,9.176138,-5.888074,7.526842,-5.781458,10.504486
