protein_id,gene,temporal_class,representation,configuration,UMAP1,UMAP2
YP_009137105.1,UL30,Early,Physicochemical,primary_n10,4.449108,3.137098
YP_009137106.1,UL31,Late,Physicochemical,primary_n10,5.262802,4.857518
YP_009137107.1,UL32,Late,Physicochemical,primary_n10,3.669213,4.548653
YP_009137108.1,UL33,Late,Physicochemical,primary_n10,3.218928,4.327891
YP_009137109.1,UL34,Late,Physicochemical,primary_n10,3.02703,5.828645
YP_009137110.1,UL35,Late,Physicochemical,primary_n10,3.727803,5.722814
YP_009137111.1,UL36,Late,Physicochemical,primary_n10,3.528028,3.527385
YP_009137112.1,UL37,Late,Physicochemical,primary_n10,3.056343,3.839778
YP_009137113.1,UL38,Late,Physicochemical,primary_n10,3.286062,5.604586
YP_009137114.1,UL39,Early,Physicochemical,primary_n10,4.291085,3.429799
YP_009137115.1,UL40,Early,Physicochemical,primary_n10,5.806339,4.495831
YP_009137116.1,UL41,Late,Physicochemical,primary_n10,5.644795,5.058211
YP_009137117.1,UL42,Early,Physicochemical,primary_n10,4.929209,6.592836
YP_009137118.1,UL43,Late,Physicochemical,primary_n10,2.43092,5.874278
YP_009137119.1,UL44,Late,Physicochemical,primary_n10,5.110949,6.189006
YP_009137120.1,UL45,Late,Physicochemical,primary_n10,2.915278,6.355863
YP_009137121.1,UL46,Late,Physicochemical,primary_n10,4.068212,6.762714
YP_009137122.1,UL47,Late,Physicochemical,primary_n10,2.524232,6.516414
YP_009137123.1,UL48,Late,Physicochemical,primary_n10,3.392433,3.891128
YP_009137124.1,UL49,Late,Physicochemical,primary_n10,3.714172,7.980758
YP_009137125.1,UL49A,Late,Physicochemical,primary_n10,3.051182,5.952129
YP_009137126.1,UL50,Early,Physicochemical,primary_n10,2.391633,5.571732
YP_009137127.1,UL51,Late,Physicochemical,primary_n10,4.331964,7.67304
YP_009137128.1,UL52,Early,Physicochemical,primary_n10,3.679561,4.063159
YP_009137129.1,UL53,Late,Physicochemical,primary_n10,4.908082,4.54151
YP_009137130.1,UL54,Immediate-Early,Physicochemical,primary_n10,4.707241,7.452088
YP_009137131.1,UL55,Late,Physicochemical,primary_n10,5.240268,5.18758
YP_009137132.1,UL56,Late,Physicochemical,primary_n10,3.02183,7.645497
YP_009137135.1,RS1,Immediate-Early,Physicochemical,primary_n10,2.781934,6.850056
YP_009137136.1,US1,Immediate-Early,Physicochemical,primary_n10,4.712292,7.809397
YP_009137137.1,US2,Late,Physicochemical,primary_n10,4.606384,5.924552
YP_009137138.1,US3,Early,Physicochemical,primary_n10,6.069551,5.004938
YP_009137139.1,US4,Late,Physicochemical,primary_n10,5.238338,6.501269
YP_009137140.1,US5,Late,Physicochemical,primary_n10,2.247703,5.770691
YP_009137141.1,US6,Late,Physicochemical,primary_n10,5.875051,5.072089
YP_009137142.1,US7,Late,Physicochemical,primary_n10,5.321385,6.26438
YP_009137143.1,US8,Late,Physicochemical,primary_n10,4.137177,6.836372
YP_009137144.1,US8A,Late,Physicochemical,primary_n10,3.065444,7.307575
YP_009137145.1,US9,Late,Physicochemical,primary_n10,3.429127,7.576666
YP_009137146.1,US10,Late,Physicochemical,primary_n10,4.32888,6.383915
YP_009137147.1,US11,Late,Physicochemical,primary_n10,3.542796,8.008778
YP_009137148.1,US12,Immediate-Early,Physicochemical,primary_n10,3.985319,7.939971
YP_009137073.1,RL1,Late,Physicochemical,sensitivity_n5,3.969372,3.583272
YP_009137073.1,RL1,Late,Physicochemical,sensitivity_n20,6.353159,8.84855
YP_009137074.1,RL2,Immediate-Early,Physicochemical,sensitivity_n5,2.607664,3.914981
YP_009137074.1,RL2,Immediate-Early,Physicochemical,sensitivity_n20,6.813096,9.310051
YP_009137075.1,UL1,Late,Physicochemical,sensitivity_n5,-0.171156,7.045455
YP_009137075.1,UL1,Late,Physicochemical,sensitivity_n20,6.754881,11.666845
YP_009137076.1,UL2,Early,Physicochemical,sensitivity_n5,2.576686,4.874897
YP_009137076.1,UL2,Early,Physicochemical,sensitivity_n20,7.102505,10.103801
YP_009137077.1,UL3,Late,Physicochemical,sensitivity_n5,3.190341,4.779444
YP_009137077.1,UL3,Late,Physicochemical,sensitivity_n20,7.464953,10.040268
YP_009137078.1,UL4,Late,Physicochemical,sensitivity_n5,-0.668867,7.408758
YP_009137078.1,UL4,Late,Physicochemical,sensitivity_n20,6.709678,12.401494
YP_009137079.1,UL5,Early,Physicochemical,sensitivity_n5,-1.84257,6.289618
YP_009137079.1,UL5,Early,Physicochemical,sensitivity_n20,4.972886,12.896379
YP_009137080.1,UL6,Late,Physicochemical,sensitivity_n5,-0.280883,3.958821
YP_009137080.1,UL6,Late,Physicochemical,sensitivity_n20,5.127547,10.803813
YP_009137081.1,UL7,Late,Physicochemical,sensitivity_n5,-0.731927,5.60848
YP_009137081.1,UL7,Late,Physicochemical,sensitivity_n20,5.333342,11.710595
YP_009137082.1,UL8,Early,Physicochemical,sensitivity_n5,-0.763431,4.816588
YP_009137082.1,UL8,Early,Physicochemical,sensitivity_n20,4.105876,10.654958
YP_009137083.1,UL9,Early,Physicochemical,sensitivity_n5,-1.190507,5.853611
YP_009137083.1,UL9,Early,Physicochemical,sensitivity_n20,5.138263,12.395393
YP_009137084.1,UL10,Late,Physicochemical,sensitivity_n5,-0.088972,3.582497
YP_009137084.1,UL10,Late,Physicochemical,sensitivity_n20,4.454463,10.745811
YP_009137085.1,UL11,Late,Physicochemical,sensitivity_n5,3.134071,4.141582
YP_009137085.1,UL11,Late,Physicochemical,sensitivity_n20,7.416175,9.43127
YP_009137086.1,UL12,Early,Physicochemical,sensitivity_n5,2.914754,4.579487
YP_009137086.1,UL12,Early,Physicochemical,sensitivity_n20,6.817663,9.946981
YP_009137087.1,UL13,Early,Physicochemical,sensitivity_n5,-0.989884,6.423363
YP_009137087.1,UL13,Early,Physicochemical,sensitivity_n20,6.102048,12.159439
YP_009137088.1,UL14,Late,Physicochemical,sensitivity_n5,2.107141,3.447126
YP_009137088.1,UL14,Late,Physicochemical,sensitivity_n20,5.826146,10.030246
YP_009137089.1,UL15,Late,Physicochemical,sensitivity_n5,-1.613836,6.13497
YP_009137089.1,UL15,Late,Physicochemical,sensitivity_n20,5.096405,12.720005
YP_009137090.1,UL16,Late,Physicochemical,sensitivity_n5,1.559186,5.220298
YP_009137090.1,UL16,Late,Physicochemical,sensitivity_n20,6.142684,10.80426
YP_009137091.1,UL17,Late,Physicochemical,sensitivity_n5,0.86965,3.378109
YP_009137091.1,UL17,Late,Physicochemical,sensitivity_n20,4.793393,10.29945
YP_009137092.1,UL18,Late,Physicochemical,sensitivity_n5,-0.547849,3.345243
YP_009137092.1,UL18,Late,Physicochemical,sensitivity_n20,4.648018,11.09503
YP_009137093.1,UL19,Late,Physicochemical,sensitivity_n5,-2.123272,5.031936
YP_009137093.1,UL19,Late,Physicochemical,sensitivity_n20,4.211395,12.31746
YP_009137094.1,UL20,Late,Physicochemical,sensitivity_n5,-0.804438,5.4182
YP_009137094.1,UL20,Late,Physicochemical,sensitivity_n20,4.836446,11.6724
YP_009137095.1,UL21,Late,Physicochemical,sensitivity_n5,-0.231772,3.253159
YP_009137095.1,UL21,Late,Physicochemical,sensitivity_n20,4.680062,10.761821
YP_009137096.1,UL22,Late,Physicochemical,sensitivity_n5,-0.912136,4.909543
YP_009137096.1,UL22,Late,Physicochemical,sensitivity_n20,4.026393,11.11259
YP_009137097.1,UL23,Early,Physicochemical,sensitivity_n5,0.060009,5.341726
YP_009137097.1,UL23,Early,Physicochemical,sensitivity_n20,5.87561,11.516825
YP_009137098.1,UL24,Late,Physicochemical,sensitivity_n5,3.377159,5.120183
YP_009137098.1,UL24,Late,Physicochemical,sensitivity_n20,7.042716,10.730617
YP_009137099.1,UL25,Late,Physicochemical,sensitivity_n5,-1.035232,4.111403
YP_009137099.1,UL25,Late,Physicochemical,sensitivity_n20,4.251647,11.836706
YP_009137100.1,UL26,Late,Physicochemical,sensitivity_n5,2.066768,3.883063
YP_009137100.1,UL26,Late,Physicochemical,sensitivity_n20,6.076155,9.647382
YP_009137101.1,UL26.5,Late,Physicochemical,sensitivity_n5,2.1595,4.121421
YP_009137101.1,UL26.5,Late,Physicochemical,sensitivity_n20,6.269145,9.747368
YP_009137102.1,UL27,Late,Physicochemical,sensitivity_n5,-2.47021,6.008598
YP_009137102.1,UL27,Late,Physicochemical,sensitivity_n20,4.656579,12.963583
YP_009137103.1,UL28,Late,Physicochemical,sensitivity_n5,-1.255825,4.24116
YP_009137103.1,UL28,Late,Physicochemical,sensitivity_n20,4.351731,11.520639
YP_009137104.1,UL29,Early,Physicochemical,sensitivity_n5,-2.241554,5.835778
YP_009137104.1,UL29,Early,Physicochemical,sensitivity_n20,4.425616,12.526167
YP_009137105.1,UL30,Early,Physicochemical,sensitivity_n5,-2.540892,5.96169
YP_009137105.1,UL30,Early,Physicochemical,sensitivity_n20,4.437975,12.88626
YP_009137106.1,UL31,Late,Physicochemical,sensitivity_n5,-0.759543,6.614475
YP_009137106.1,UL31,Late,Physicochemical,sensitivity_n20,6.420605,11.957726
YP_009137107.1,UL32,Late,Physicochemical,sensitivity_n5,-1.40819,5.031105
YP_009137107.1,UL32,Late,Physicochemical,sensitivity_n20,4.979441,11.378565
YP_009137108.1,UL33,Late,Physicochemical,sensitivity_n5,1.697642,3.316298
YP_009137108.1,UL33,Late,Physicochemical,sensitivity_n20,5.508123,10.929806
YP_009137109.1,UL34,Late,Physicochemical,sensitivity_n5,0.584242,3.98938
YP_009137109.1,UL34,Late,Physicochemical,sensitivity_n20,5.083922,10.194816
YP_009137110.1,UL35,Late,Physicochemical,sensitivity_n5,0.200668,5.101642
YP_009137110.1,UL35,Late,Physicochemical,sensitivity_n20,5.784395,11.353222
YP_009137111.1,UL36,Late,Physicochemical,sensitivity_n5,-1.830913,4.474463
YP_009137111.1,UL36,Late,Physicochemical,sensitivity_n20,3.829155,12.076713
YP_009137112.1,UL37,Late,Physicochemical,sensitivity_n5,-1.588185,4.398599
YP_009137112.1,UL37,Late,Physicochemical,sensitivity_n20,3.892291,11.559937
YP_009137113.1,UL38,Late,Physicochemical,sensitivity_n5,0.716737,4.459728
YP_009137113.1,UL38,Late,Physicochemical,sensitivity_n20,5.521303,10.395061
YP_009137114.1,UL39,Early,Physicochemical,sensitivity_n5,-2.197036,5.68712
YP_009137114.1,UL39,Early,Physicochemical,sensitivity_n20,4.579032,12.556136
YP_009137115.1,UL40,Early,Physicochemical,sensitivity_n5,-1.238885,7.133114
YP_009137115.1,UL40,Early,Physicochemical,sensitivity_n20,6.050232,12.893597
YP_009137116.1,UL41,Late,Physicochemical,sensitivity_n5,-0.705542,7.095026
YP_009137116.1,UL41,Late,Physicochemical,sensitivity_n20,6.927298,12.257983
YP_009137117.1,UL42,Early,Physicochemical,sensitivity_n5,2.491034,5.362273
YP_009137117.1,UL42,Early,Physicochemical,sensitivity_n20,6.754961,10.37491
YP_009137118.1,UL43,Late,Physicochemical,sensitivity_n5,0.568474,3.142581
YP_009137118.1,UL43,Late,Physicochemical,sensitivity_n20,4.594475,9.917176
YP_009137119.1,UL44,Late,Physicochemical,sensitivity_n5,2.909635,5.642901
YP_009137119.1,UL44,Late,Physicochemical,sensitivity_n20,7.498002,10.730635
YP_009137120.1,UL45,Late,Physicochemical,sensitivity_n5,1.067242,3.159099
YP_009137120.1,UL45,Late,Physicochemical,sensitivity_n20,5.355502,9.643567
YP_009137121.1,UL46,Late,Physicochemical,sensitivity_n5,2.70035,4.494997
YP_009137121.1,UL46,Late,Physicochemical,sensitivity_n20,6.151932,10.180224
YP_009137122.1,UL47,Late,Physicochemical,sensitivity_n5,0.52806,2.576355
YP_009137122.1,UL47,Late,Physicochemical,sensitivity_n20,4.846927,9.414677
YP_009137123.1,UL48,Late,Physicochemical,sensitivity_n5,-1.144337,4.220311
YP_009137123.1,UL48,Late,Physicochemical,sensitivity_n20,4.435143,11.824741
YP_009137124.1,UL49,Late,Physicochemical,sensitivity_n5,4.04077,3.932857
YP_009137124.1,UL49,Late,Physicochemical,sensitivity_n20,6.656582,8.910332
YP_009137125.1,UL49A,Late,Physicochemical,sensitivity_n5,0.74533,3.961735
YP_009137125.1,UL49A,Late,Physicochemical,sensitivity_n20,5.175698,10.063554
YP_009137126.1,UL50,Early,Physicochemical,sensitivity_n5,0.173352,3.403892
YP_009137126.1,UL50,Early,Physicochemical,sensitivity_n20,4.494722,10.346232
YP_009137127.1,UL51,Late,Physicochemical,sensitivity_n5,2.178504,3.57222
YP_009137127.1,UL51,Late,Physicochemical,sensitivity_n20,6.261302,9.325894
YP_009137128.1,UL52,Early,Physicochemical,sensitivity_n5,-1.727608,5.119736
YP_009137128.1,UL52,Early,Physicochemical,sensitivity_n20,4.610576,12.210434
YP_009137129.1,UL53,Late,Physicochemical,sensitivity_n5,-0.628535,6.036967
YP_009137129.1,UL53,Late,Physicochemical,sensitivity_n20,5.724374,12.063583
YP_009137130.1,UL54,Immediate-Early,Physicochemical,sensitivity_n5,2.808473,3.962432
YP_009137130.1,UL54,Immediate-Early,Physicochemical,sensitivity_n20,6.844796,9.51849
YP_009137131.1,UL55,Late,Physicochemical,sensitivity_n5,-0.455892,6.758582
YP_009137131.1,UL55,Late,Physicochemical,sensitivity_n20,7.013556,11.95884
YP_009137132.1,UL56,Late,Physicochemical,sensitivity_n5,3.739024,3.335418
YP_009137132.1,UL56,Late,Physicochemical,sensitivity_n20,5.852544,8.901957
YP_009137135.1,RS1,Immediate-Early,Physicochemical,sensitivity_n5,0.593838,2.496967
YP_009137135.1,RS1,Immediate-Early,Physicochemical,sensitivity_n20,5.122088,9.27591
YP_009137136.1,US1,Immediate-Early,Physicochemical,sensitivity_n5,3.323095,4.068316
YP_009137136.1,US1,Immediate-Early,Physicochemical,sensitivity_n20,7.414275,9.22707
YP_009137137.1,US2,Late,Physicochemical,sensitivity_n5,2.031344,5.290887
YP_009137137.1,US2,Late,Physicochemical,sensitivity_n20,6.415165,10.842873
YP_009137138.1,US3,Early,Physicochemical,sensitivity_n5,-0.889706,7.327675
YP_009137138.1,US3,Early,Physicochemical,sensitivity_n20,6.754873,12.618239
YP_009137139.1,US4,Late,Physicochemical,sensitivity_n5,3.190908,5.856019
YP_009137139.1,US4,Late,Physicochemical,sensitivity_n20,7.499943,10.585147
YP_009137140.1,US5,Late,Physicochemical,sensitivity_n5,0.428458,3.186545
YP_009137140.1,US5,Late,Physicochemical,sensitivity_n20,4.408125,9.965065
YP_009137141.1,US6,Late,Physicochemical,sensitivity_n5,-0.467997,7.339635
YP_009137141.1,US6,Late,Physicochemical,sensitivity_n20,6.462475,12.451823
YP_009137142.1,US7,Late,Physicochemical,sensitivity_n5,3.052567,5.675542
YP_009137142.1,US7,Late,Physicochemical,sensitivity_n20,7.311344,11.018179
YP_009137143.1,US8,Late,Physicochemical,sensitivity_n5,2.893334,4.98817
YP_009137143.1,US8,Late,Physicochemical,sensitivity_n20,6.591216,9.995834
YP_009137144.1,US8A,Late,Physicochemical,sensitivity_n5,3.263516,3.181748
YP_009137144.1,US8A,Late,Physicochemical,sensitivity_n20,5.64759,9.179411
YP_009137145.1,US9,Late,Physicochemical,sensitivity_n5,3.502205,3.64368
YP_009137145.1,US9,Late,Physicochemical,sensitivity_n20,6.065784,8.590195
YP_009137146.1,US10,Late,Physicochemical,sensitivity_n5,2.240246,4.636823
YP_009137146.1,US10,Late,Physicochemical,sensitivity_n20,6.62066,11.089017
YP_009137147.1,US11,Late,Physicochemical,sensitivity_n5,4.21507,3.475557
YP_009137147.1,US11,Late,Physicochemical,sensitivity_n20,6.684471,8.692089
YP_009137148.1,US12,Immediate-Early,Physicochemical,sensitivity_n5,3.886771,4.218007
YP_009137148.1,US12,Immediate-Early,Physicochemical,sensitivity_n20,7.049661,9.384438
YP_009137073.1,RL1,Late,ProtBERT,primary_n10,7.048532,6.090034
YP_009137074.1,RL2,Immediate-Early,ProtBERT,primary_n10,7.387585,5.880176
YP_009137075.1,UL1,Late,ProtBERT,primary_n10,5.676572,8.464575
YP_009137076.1,UL2,Early,ProtBERT,primary_n10,0.121555,5.910788
YP_009137077.1,UL3,Late,ProtBERT,primary_n10,6.4665,8.13935
YP_009137078.1,UL4,Late,ProtBERT,primary_n10,5.113452,8.099876
YP_009137079.1,UL5,Early,ProtBERT,primary_n10,6.492085,9.613135
YP_009137080.1,UL6,Late,ProtBERT,primary_n10,6.99385,8.130448
YP_009137081.1,UL7,Late,ProtBERT,primary_n10,6.663375,8.659159
YP_009137082.1,UL8,Early,ProtBERT,primary_n10,6.590665,6.978933
YP_009137083.1,UL9,Early,ProtBERT,primary_n10,0.452158,6.131372
YP_009137084.1,UL10,Late,ProtBERT,primary_n10,5.236358,5.802557
YP_009137085.1,UL11,Late,ProtBERT,primary_n10,6.790615,7.629112
YP_009137086.1,UL12,Early,ProtBERT,primary_n10,-0.753825,5.236191
YP_009137087.1,UL13,Early,ProtBERT,primary_n10,2.069195,6.701392
YP_009137088.1,UL14,Late,ProtBERT,primary_n10,5.682157,7.226348
YP_009137089.1,UL15,Late,ProtBERT,primary_n10,-0.380955,5.693405
YP_009137090.1,UL16,Late,ProtBERT,primary_n10,6.167258,8.122716
YP_009137091.1,UL17,Late,ProtBERT,primary_n10,6.386341,6.837664
YP_009137092.1,UL18,Late,ProtBERT,primary_n10,7.081781,8.993386
YP_009137093.1,UL19,Late,ProtBERT,primary_n10,7.180701,9.254547
YP_009137094.1,UL20,Late,ProtBERT,primary_n10,6.017432,9.084182
YP_009137095.1,UL21,Late,ProtBERT,primary_n10,7.414937,8.697866
YP_009137096.1,UL22,Late,ProtBERT,primary_n10,7.531885,8.788141
YP_009137097.1,UL23,Early,ProtBERT,primary_n10,-1.49629,5.255511
YP_009137098.1,UL24,Late,ProtBERT,primary_n10,0.455417,5.946073
YP_009137099.1,UL25,Late,ProtBERT,primary_n10,7.592241,8.984209
YP_009137100.1,UL26,Late,ProtBERT,primary_n10,7.45323,6.203777
YP_009137101.1,UL26.5,Late,ProtBERT,primary_n10,7.178563,5.85825
YP_009137102.1,UL27,Late,ProtBERT,primary_n10,6.795005,9.462474
YP_009137103.1,UL28,Late,ProtBERT,primary_n10,7.528679,8.101007
YP_009137104.1,UL29,Early,ProtBERT,primary_n10,6.93298,9.644198
YP_009137105.1,UL30,Early,ProtBERT,primary_n10,-0.516949,5.815732
YP_009137106.1,UL31,Late,ProtBERT,primary_n10,6.485829,8.865478
YP_009137107.1,UL32,Late,ProtBERT,primary_n10,7.762746,8.069906
YP_009137108.1,UL33,Late,ProtBERT,primary_n10,5.360682,7.759138
YP_009137109.1,UL34,Late,ProtBERT,primary_n10,5.130408,7.262995
YP_009137110.1,UL35,Late,ProtBERT,primary_n10,5.02373,7.892339
YP_009137111.1,UL36,Late,ProtBERT,primary_n10,6.802278,6.085182
YP_009137112.1,UL37,Late,ProtBERT,primary_n10,7.372715,8.416154
YP_009137113.1,UL38,Late,ProtBERT,primary_n10,5.440507,7.311728
YP_009137114.1,UL39,Early,ProtBERT,primary_n10,-0.162664,5.87591
YP_009137115.1,UL40,Early,ProtBERT,primary_n10,-0.342225,5.672899
YP_009137116.1,UL41,Late,ProtBERT,primary_n10,0.955632,6.193861
YP_009137117.1,UL42,Early,ProtBERT,primary_n10,-0.549265,5.389467
YP_009137118.1,UL43,Late,ProtBERT,primary_n10,5.507865,6.056264
YP_009137119.1,UL44,Late,ProtBERT,primary_n10,-1.325772,4.984035
YP_009137120.1,UL45,Late,ProtBERT,primary_n10,5.139727,6.712638
YP_009137121.1,UL46,Late,ProtBERT,primary_n10,8.001265,7.912624
YP_009137122.1,UL47,Late,ProtBERT,primary_n10,6.293019,6.718932
YP_009137123.1,UL48,Late,ProtBERT,primary_n10,8.037904,8.459858
YP_009137124.1,UL49,Late,ProtBERT,primary_n10,7.621416,6.41719
YP_009137125.1,UL49A,Late,ProtBERT,primary_n10,7.227505,7.167905
YP_009137126.1,UL50,Early,ProtBERT,primary_n10,1.458326,6.319018
YP_009137127.1,UL51,Late,ProtBERT,primary_n10,6.171191,6.118699
YP_009137128.1,UL52,Early,ProtBERT,primary_n10,7.846157,8.783965
YP_009137129.1,UL53,Late,ProtBERT,primary_n10,6.186386,9.228345
YP_009137130.1,UL54,Immediate-Early,ProtBERT,primary_n10,7.696164,7.028514
YP_009137131.1,UL55,Late,ProtBERT,primary_n10,6.335643,8.536879
YP_009137132.1,UL56,Late,ProtBERT,primary_n10,7.657371,6.0514
YP_009137135.1,RS1,Immediate-Early,ProtBERT,primary_n10,6.517933,6.46062
YP_009137136.1,US1,Immediate-Early,ProtBERT,primary_n10,7.725527,6.760377
YP_009137137.1,US2,Late,ProtBERT,primary_n10,5.33215,8.071029
YP_009137138.1,US3,Early,ProtBERT,primary_n10,1.730493,6.487791
YP_009137139.1,US4,Late,ProtBERT,primary_n10,-1.1562,5.013886
YP_009137140.1,US5,Late,ProtBERT,primary_n10,5.494786,6.000607
YP_009137141.1,US6,Late,ProtBERT,primary_n10,0.567654,5.798681
YP_009137142.1,US7,Late,ProtBERT,primary_n10,-1.067744,5.11283
YP_009137143.1,US8,Late,ProtBERT,primary_n10,-1.070606,5.247938
YP_009137144.1,US8A,Late,ProtBERT,primary_n10,5.626232,7.984039
YP_009137145.1,US9,Late,ProtBERT,primary_n10,5.370383,5.839226
YP_009137146.1,US10,Late,ProtBERT,primary_n10,8.016021,7.249786
YP_009137147.1,US11,Late,ProtBERT,primary_n10,7.950962,6.033786
YP_009137148.1,US12,Immediate-Early,ProtBERT,primary_n10,5.033518,7.645371
YP_009137073.1,RL1,Late,ProtBERT,sensitivity_n5,11.605409,-0.022091
YP_009137073.1,RL1,Late,ProtBERT,sensitivity_n20,4.898162,-8.756737
YP_009137074.1,RL2,Immediate-Early,ProtBERT,sensitivity_n5,11.955376,-0.001882
YP_009137074.1,RL2,Immediate-Early,ProtBERT,sensitivity_n20,5.256356,-8.492893
YP_009137075.1,UL1,Late,ProtBERT,sensitivity_n5,10.757169,3.115877
YP_009137075.1,UL1,Late,ProtBERT,sensitivity_n20,2.303997,-8.968519
YP_009137076.1,UL2,Early,ProtBERT,sensitivity_n5,6.537166,0.883726
YP_009137076.1,UL2,Early,ProtBERT,sensitivity_n20,3.241071,-5.163303
YP_009137077.1,UL3,Late,ProtBERT,sensitivity_n5,12.422549,2.270673
YP_009137077.1,UL3,Late,ProtBERT,sensitivity_n20,1.446383,-8.813225
YP_009137078.1,UL4,Late,ProtBERT,sensitivity_n5,11.255255,3.665373
YP_009137078.1,UL4,Late,ProtBERT,sensitivity_n20,2.277657,-9.358219
YP_009137079.1,UL5,Early,ProtBERT,sensitivity_n5,9.539897,2.433323
YP_009137079.1,UL5,Early,ProtBERT,sensitivity_n20,2.456692,-7.248011
YP_009137080.1,UL6,Late,ProtBERT,sensitivity_n5,10.835609,2.107501
YP_009137080.1,UL6,Late,ProtBERT,sensitivity_n20,3.272526,-8.078135
YP_009137081.1,UL7,Late,ProtBERT,sensitivity_n5,11.357104,2.484968
YP_009137081.1,UL7,Late,ProtBERT,sensitivity_n20,2.159847,-8.186481
YP_009137082.1,UL8,Early,ProtBERT,sensitivity_n5,10.945691,0.538849
YP_009137082.1,UL8,Early,ProtBERT,sensitivity_n20,3.883904,-8.985131
YP_009137083.1,UL9,Early,ProtBERT,sensitivity_n5,6.380357,0.622773
YP_009137083.1,UL9,Early,ProtBERT,sensitivity_n20,3.164213,-5.017667
YP_009137084.1,UL10,Late,ProtBERT,sensitivity_n5,10.190677,4.02545
YP_009137084.1,UL10,Late,ProtBERT,sensitivity_n20,3.891418,-10.284395
YP_009137085.1,UL11,Late,ProtBERT,sensitivity_n5,12.676784,1.881918
YP_009137085.1,UL11,Late,ProtBERT,sensitivity_n20,1.635652,-9.256815
YP_009137086.1,UL12,Early,ProtBERT,sensitivity_n5,4.953486,-0.417513
YP_009137086.1,UL12,Early,ProtBERT,sensitivity_n20,2.413043,-4.277177
YP_009137087.1,UL13,Early,ProtBERT,sensitivity_n5,7.964537,1.35193
YP_009137087.1,UL13,Early,ProtBERT,sensitivity_n20,2.858694,-6.864663
YP_009137088.1,UL14,Late,ProtBERT,sensitivity_n5,12.181782,4.229036
YP_009137088.1,UL14,Late,ProtBERT,sensitivity_n20,3.168524,-9.655646
YP_009137089.1,UL15,Late,ProtBERT,sensitivity_n5,5.734397,0.236987
YP_009137089.1,UL15,Late,ProtBERT,sensitivity_n20,2.861921,-4.79815
YP_009137090.1,UL16,Late,ProtBERT,sensitivity_n5,12.411987,2.513283
YP_009137090.1,UL16,Late,ProtBERT,sensitivity_n20,1.366892,-9.001587
YP_009137091.1,UL17,Late,ProtBERT,sensitivity_n5,11.233658,0.708623
YP_009137091.1,UL17,Late,ProtBERT,sensitivity_n20,3.603215,-9.204263
YP_009137092.1,UL18,Late,ProtBERT,sensitivity_n5,10.418067,1.97788
YP_009137092.1,UL18,Late,ProtBERT,sensitivity_n20,2.560819,-8.618519
YP_009137093.1,UL19,Late,ProtBERT,sensitivity_n5,10.168437,2.157702
YP_009137093.1,UL19,Late,ProtBERT,sensitivity_n20,2.707954,-8.130553
