protein_id,gene,true_class,disagreement_pattern,pred_physicochemical,pred_protbert,pred_combined_equal_block,protein_length,functional_category,primary_known_function,contextual_sequence_hypothesis,literature_reference
YP_009137096.1,UL22,Late,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,Early,Late,Late,838,envelope/glycoprotein,"Envelope glycoprotein H (gH); core component of the conserved herpesvirus entry and fusion machinery, complexing with gL (UL1) to activate gB (UL27) during membrane fusion.",ProtBERT embeddings capture non-linear homology/domain architectures that overcome local physicochemical composition shifts.,Gompels & Minson (1986) Virology 153:230-247; Chowdary et al. (2010) Science 327:606-610
YP_009137097.1,UL23,Early,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,Late,Early,Early,376,nucleotide metabolism,"Thymidine kinase (TK); phosphorylates thymidine and deoxycytidine into dTMP and dCMP, and activates nucleoside antiviral prodrugs (acyclovir, ganciclovir).",ProtBERT embeddings capture non-linear homology/domain architectures that overcome local physicochemical composition shifts.,Wagner et al. (1981) PNAS 78:1441-1445; Summers & Summers (1977) J Virol 24:314-318
YP_009137098.1,UL24,Late,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,Late,Early,Early,269,host-interaction/regulatory,"Nuclear protein UL24; induces dispersion of nucleolar proteins (B23, nucleolin), modulates syncytium formation, and participates in nuclear egress.",ProtBERT embeddings capture non-linear homology/domain architectures that overcome local physicochemical composition shifts.,Jacobson et al. (1998) J Virol 72:3325-3334; Lymberopoulos & Pearson (2007) J Virol 81:12564-12572
YP_009137099.1,UL25,Late,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,Early,Late,Late,580,DNA packaging,Minor capsid-associated tegument protein (CATC/CVCR); binds capsid vertices to anchor packaged viral DNA inside capsids and trigger nuclear pore docking for genome uncoating.,ProtBERT embeddings capture non-linear homology/domain architectures that overcome local physicochemical composition shifts.,Ali et al. (1996) J Virol 70:5258-5267; Pasdeloup et al. (2009) Traffic 10:1082-1092
YP_009137101.1,UL26.5,Late,PHYS_PB_DISAGREE_COMBINED_MATCHES_PHYS,Late,Immediate-Early,Late,329,capsid/structural,Major capsid scaffolding protein (VP22a); self-assembles into an internal spherical scaffold that templates VP5 hexon/penton assembly into spherical B-procapsids.,"Global physicochemical features (length, charge, hydrophobicity) provide stronger discriminative signal than ProtBERT embedding space for this protein.",Preston et al. (1992) J Virol 66:6489-6497; Newcomb et al. (1996) J Mol Biol 263:432-446
YP_009137102.1,UL27,Late,PHYS_PB_DISAGREE_COMBINED_MATCHES_PHYS,Early,Late,Early,904,envelope/glycoprotein,Envelope glycoprotein B (gB); class III viral fusion protein executing the ultimate lipid bilayer fusion step during entry and cell-to-cell spread.,"Global physicochemical features (length, charge, hydrophobicity) provide stronger discriminative signal than ProtBERT embedding space for this protein.",Heldwein et al. (2006) Science 313:217-220; Spear (2004) Cell Microbiol 6:401-410
YP_009137104.1,UL29,Early,PHYS_PB_DISAGREE_COMBINED_MATCHES_PHYS,Early,Late,Early,1196,DNA replication,"Major single-stranded DNA-binding protein (ICP8, 128 kDa); coats ssDNA during replication, organizes nuclear replication compartments, and promotes strand exchange.","Global physicochemical features (length, charge, hydrophobicity) provide stronger discriminative signal than ProtBERT embedding space for this protein.",Conley et al. (1981) J Virol 37:191-206; Weller et al. (1983) J Virol 45:354-366
YP_009137110.1,UL35,Late,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,Early,Late,Late,112,capsid/structural,Capsid vertex-specific protein (VP26); small protein decorating the outer tips of all 150 hexon capsomers (900 copies per capsid).,ProtBERT embeddings capture non-linear homology/domain architectures that overcome local physicochemical composition shifts.,Booy et al. (1994) PNAS 91:5652-5656; Douglas et al. (2004) Nat Cell Biol 6:521-528
YP_009137111.1,UL36,Late,PHYS_PB_DISAGREE_COMBINED_MATCHES_PHYS,Early,Late,Early,3139,tegument,"Large tegument protein (VP1/2, 3,139 aa, 336 kDa); largest viral protein, serving as the master structural hub linking the outer capsid to the tegument and anchoring dynein/kinesin motors for axonal transport.","Global physicochemical features (length, charge, hydrophobicity) provide stronger discriminative signal than ProtBERT embedding space for this protein.",McNabb & Courtney (1992) J Virol 66:2655-2663; Sandbaumhuter et al. (2013) PLoS Pathog 9:e1003230
YP_009137117.1,UL42,Early,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,Late,Early,Early,488,DNA replication,DNA polymerase processivity factor (65 kDa); binds double-stranded DNA directly and forms a high-affinity stoichiometric complex with UL30 catalytic subunit to ensure processive replication.,ProtBERT embeddings capture non-linear homology/domain architectures that overcome local physicochemical composition shifts.,Parris et al. (1988) J Virol 62:869-875; Gottlieb et al. (1990) J Virol 64:5976-5987
YP_009137119.1,UL44,Late,PHYS_PB_DISAGREE_COMBINED_MATCHES_PHYS,Late,Early,Late,511,envelope/glycoprotein,Envelope glycoprotein C (gC); binds host cell surface heparan sulfate proteoglycans (HSPGs) for initial attachment and binds host complement component C3b to inhibit complement activation.,"Global physicochemical features (length, charge, hydrophobicity) provide stronger discriminative signal than ProtBERT embedding space for this protein.",Frink et al. (1983) J Virol 45:634-647; Kostavasili et al. (1997) J Virol 71:7450-7457
YP_009137123.1,UL48,Late,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,Late,Immediate-Early,Immediate-Early,490,transcriptional/regulatory,"Major tegument transactivator protein VP16 (alpha-TIF, 490 aa); complexes with host HCF-1 and Oct-1 on TAATGARAT promoter elements to robustly transactivate all five viral Immediate-Early (alpha) genes.",ProtBERT embeddings capture non-linear homology/domain architectures that overcome local physicochemical composition shifts.,Campbell et al. (1984) J Mol Biol 180:1-19; Stern & Herr (1991) Genes Dev 5:2555-2566
YP_009137124.1,UL49,Late,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,Late,Immediate-Early,Immediate-Early,301,tegument,"Major tegument protein VP22 (301 aa); binds microtubules and viral mRNA, interacts with UL48 and UL16, and promotes efficient secondary envelopement.",ProtBERT embeddings capture non-linear homology/domain architectures that overcome local physicochemical composition shifts.,Elliott & O'Hare (1997) Cell 88:223-233; O'Regan et al. (2007) J Virol 81:13185-13195
YP_009137126.1,UL50,Early,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,Late,Early,Early,371,nucleotide metabolism,Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase); hydrolyzes dUTP to dUMP to provide substrate for thymidylate synthase and prevent uracil misincorporation into DNA.,ProtBERT embeddings capture non-linear homology/domain architectures that overcome local physicochemical composition shifts.,Caradonna & Cheng (1980) J Biol Chem 255:2293-2300; Wohlrab & Francke (1980) PNAS 77:1872-1876
YP_009137131.1,UL55,Late,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,Early,Late,Late,186,host-interaction/regulatory,Nuclear protein UL55; non-essential nuclear protein with putative role in viral transcription or latency.,ProtBERT embeddings capture non-linear homology/domain architectures that overcome local physicochemical composition shifts.,Barker & Roizman (1990) J Virol 64:5642-5646; Roizman et al. (2013) Fields Virology
YP_009137136.1,US1,Immediate-Early,PHYS_PB_DISAGREE_COMBINED_MATCHES_PHYS,Immediate-Early,Late,Immediate-Early,420,transcriptional/regulatory,Immediate-Early regulatory protein ICP22 (alpha22); induces aberrant phosphorylation of RNA polymerase II (loss of Ser2 phosphorylation) to reprogram host transcriptional machinery toward late viral promoters.,"Global physicochemical features (length, charge, hydrophobicity) provide stronger discriminative signal than ProtBERT embedding space for this protein.",Post & Roizman (1981) Cell 25:227-232; Rice et al. (1995) J Virol 69:5550-5559
YP_009137139.1,US4,Late,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,Early,Late,Late,238,envelope/glycoprotein,"Envelope glycoprotein G (gG); chemokine-binding protein that binds and neutralizes host chemokines (CXCL12, CCL28) to inhibit immune cell recruitment.",ProtBERT embeddings capture non-linear homology/domain architectures that overcome local physicochemical composition shifts.,Richman et al. (1986) J Virol 57:647-655; Bryant et al. (2003) EMBO J 22:833-841
YP_009137141.1,US6,Late,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,Early,Late,Late,394,envelope/glycoprotein,"Envelope glycoprotein D (gD); essential receptor-binding trigger that engages host receptors (HVEM, Nectin-1, 3-O-sulfated heparan sulfate) to activate the gH/gL/gB fusion complex.",ProtBERT embeddings capture non-linear homology/domain architectures that overcome local physicochemical composition shifts.,Montgomery et al. (1996) Cell 87:427-436; Carfi et al. (2001) Mol Cell 8:169-179
YP_009137143.1,US8,Late,PHYS_PB_DISAGREE_COMBINED_MATCHES_PHYS,Late,Early,Late,550,envelope/glycoprotein,"Envelope glycoprotein E (gE); complexes with gI (US7) to mediate anterograde axonal transport in neurons, directional cell-to-cell spread across junctions, and host IgG Fc receptor binding for antibody bipolar bridging.","Global physicochemical features (length, charge, hydrophobicity) provide stronger discriminative signal than ProtBERT embedding space for this protein.",Johnson et al. (1988) J Virol 62:1347-1354; Dingwell et al. (1994) J Virol 68:834-845
YP_009137147.1,US11,Late,PHYS_PB_DISAGREE_COMBINED_MATCHES_PB,Late,Immediate-Early,Immediate-Early,161,tegument,"Tegument double-stranded RNA-binding protein US11; prevents PKR activation and eIF2alpha phosphorylation late in infection, and promotes microtubule-dependent transport.",ProtBERT embeddings capture non-linear homology/domain architectures that overcome local physicochemical composition shifts.,Roller & Roizman (1992) J Virol 66:3624-3632; Mohr et al. (2001) PNAS 98:14392-14397
