protein_id,gene,temporal_class,physicochemical_standardized_distance,protbert_knn_density_distance,pca_combined_pc1,pca_combined_pc2,is_physicochemical_outlier (top 10%),is_protbert_density_outlier (top 10%),supervised_accuracy_combined_model,supervised_consistency_category
YP_009137100.1,UL26,Late,3.34232809382392,0.7554275751113891,-0.2930225663699091,-0.22002139054259418,False,False,1.0,Consistently_Correct
YP_009137101.1,UL26.5,Late,6.296388231880471,1.1141919136047362,-0.5983929437683457,-0.09236549697618515,False,False,1.0,Consistently_Correct
YP_009137102.1,UL27,Late,4.95821244754781,0.7106314897537231,0.6247412385213413,-0.018569035451831972,False,False,0.2,Frequently_Misclassified
YP_009137103.1,UL28,Late,3.2442223227419444,0.4819631814956665,0.2603616057668808,-0.4060925893284244,False,False,1.0,Consistently_Correct
YP_009137104.1,UL29,Early,4.351820345704282,0.5534599542617797,0.6768510580269281,-0.2937985960829492,False,False,0.6,Frequently_Correct
YP_009137105.1,UL30,Early,4.740298544571807,1.0383893251419067,0.750969628520722,0.6148082950635443,False,False,1.0,Consistently_Correct
YP_009137106.1,UL31,Late,3.696551641196152,0.5597113728523254,0.3794192333933175,-0.2269377718365553,False,False,1.0,Consistently_Correct
YP_009137107.1,UL32,Late,3.181316112114929,0.53189457654953,0.2866370764964607,-0.3391575880191441,False,False,0.6,Frequently_Correct
YP_009137108.1,UL33,Late,4.848049921604491,0.6582608819007874,0.11731863798928596,-0.21401440372741376,False,False,1.0,Consistently_Correct
YP_009137109.1,UL34,Late,4.351858504221712,0.7033007740974426,0.03391325428563115,-0.38639743131862614,False,False,1.0,Consistently_Correct
YP_009137110.1,UL35,Late,7.2644868899955215,0.705311381816864,0.10491028420341039,-0.20062265335707163,True,False,1.0,Consistently_Correct
YP_009137111.1,UL36,Late,9.099593638109333,0.6867575168609619,0.010954589877979171,-0.2595573690489584,True,False,0.0,Consistently_Misclassified
YP_009137112.1,UL37,Late,3.5456300756261516,0.549705958366394,0.2153492864581874,-0.3472593731361626,False,False,1.0,Consistently_Correct
YP_009137113.1,UL38,Late,2.888231127726722,0.6118131101131439,-0.10121483441665792,-0.41866074068745524,False,False,1.0,Consistently_Correct
YP_009137114.1,UL39,Early,3.4206179017512426,1.088482403755188,0.4757330271121201,0.37633102019213993,False,False,1.0,Consistently_Correct
YP_009137115.1,UL40,Early,5.912806780569618,1.6540714263916017,1.000381205785116,0.8381316298002844,False,True,1.0,Consistently_Correct
YP_009137116.1,UL41,Late,3.5434348249502015,0.9534765362739563,0.3434987036094362,0.5061358631729331,False,False,0.0,Consistently_Misclassified
YP_009137117.1,UL42,Early,4.4148508127342225,1.1413538932800293,0.08709473729777241,0.8403855891486676,False,False,1.0,Consistently_Correct
YP_009137118.1,UL43,Late,5.072269589525803,0.9488105058670044,-0.12221435127542761,-0.6136314708516174,False,False,1.0,Consistently_Correct
YP_009137119.1,UL44,Late,4.189706348746159,1.3369869709014892,-0.09869879279784115,1.2291444427175244,False,True,1.0,Consistently_Correct
YP_009137120.1,UL45,Late,5.34760109902145,0.7599444031715393,-0.06378550168465062,-0.34372043764261867,False,False,1.0,Consistently_Correct
YP_009137121.1,UL46,Late,2.508033711912042,0.5370410144329071,-0.1349199267065425,-0.22135317716325026,False,False,1.0,Consistently_Correct
YP_009137122.1,UL47,Late,3.9472479481803306,0.572108370065689,-0.2267029839568178,-0.6208148916948462,False,False,1.0,Consistently_Correct
YP_009137123.1,UL48,Late,4.964883050563898,0.6194851398468018,0.326815736437607,-0.35396025827780037,False,False,0.2,Frequently_Misclassified
YP_009137124.1,UL49,Late,5.12944539478233,0.8473816990852356,-0.856553022621332,0.11437189256031496,False,False,0.0,Consistently_Misclassified
YP_009137125.1,UL49A,Late,8.438698380896401,1.1641282320022583,-0.2895244652997029,-0.43048998491402807,True,False,1.0,Consistently_Correct
YP_009137126.1,UL50,Early,3.121236981073267,1.1592345714569092,0.08897053620305002,0.05927847037262214,False,False,1.0,Consistently_Correct
YP_009137127.1,UL51,Late,4.813664108791158,0.7029355287551879,-0.41192697832863545,-0.22293548454908113,False,False,0.8,Consistently_Correct
YP_009137128.1,UL52,Early,3.108699168876847,0.45769726634025576,0.4260200842675133,-0.3391039651104503,False,False,0.0,Consistently_Misclassified
YP_009137129.1,UL53,Late,6.2870827724036555,0.8305425405502319,0.8820471566630407,-0.24974355096632952,False,False,1.0,Consistently_Correct
YP_009137130.1,UL54,Immediate-Early,3.687139405467626,0.6946735262870789,-0.5177076340562422,-0.10039427243542191,False,False,1.0,Consistently_Correct
YP_009137131.1,UL55,Late,6.060978754250746,0.810269808769226,0.38568820195579717,0.07489383429643942,False,False,1.0,Consistently_Correct
YP_009137132.1,UL56,Late,4.134939271513184,0.853382122516632,-0.6067613712975791,-0.10783705232566713,False,False,1.0,Consistently_Correct
YP_009137135.1,RS1,Immediate-Early,6.503479812496819,0.8909305453300476,-0.6844100318631888,-0.6576103413253218,False,False,1.0,Consistently_Correct
YP_009137136.1,US1,Immediate-Early,5.467632896767471,0.7976332306861877,-0.5876499044361172,0.16937128558538472,False,False,1.0,Consistently_Correct
YP_009137137.1,US2,Late,4.109983229802237,0.6314784169197083,-0.08437642779548966,-0.17228238672124185,False,False,1.0,Consistently_Correct
YP_009137138.1,US3,Early,3.8873948216019136,0.8766216397285461,0.17549938712349047,0.26223358490708404,False,False,0.6,Frequently_Correct
YP_009137139.1,US4,Late,5.938019892797227,1.5327045679092408,-0.4698993418128701,1.5922366269534525,False,True,1.0,Consistently_Correct
YP_009137140.1,US5,Late,8.324826711671562,0.9656748652458191,-0.3012924337887384,-0.6577627803994351,True,False,1.0,Consistently_Correct
YP_009137141.1,US6,Late,4.158866336959219,1.246428084373474,0.3102992452006649,0.7900843401760101,False,True,1.0,Consistently_Correct
YP_009137142.1,US7,Late,3.870745320320653,1.1269186735153198,-0.22768681542549343,1.1717991876195817,False,False,1.0,Consistently_Correct
YP_009137143.1,US8,Late,3.83974030312106,1.136879563331604,-0.23888274386722871,0.9462563225538497,False,False,1.0,Consistently_Correct
YP_009137144.1,US8A,Late,4.706864343018077,0.8283979773521424,-0.6702710481594242,-0.2831933030849775,False,False,1.0,Consistently_Correct
YP_009137145.1,US9,Late,8.602480393814394,0.8672029852867127,-0.4372434794605777,-0.0772709071396539,True,False,1.0,Consistently_Correct
YP_009137146.1,US10,Late,4.93085258505233,1.0316159963607787,-0.3470458978107835,-0.15844658764494524,False,False,1.0,Consistently_Correct
YP_009137147.1,US11,Late,8.986482319428799,1.4099906921386718,-1.7521577699022641,0.1833541611333821,True,True,0.2,Frequently_Misclassified
YP_009137148.1,US12,Immediate-Early,6.518372761460116,0.7146745800971985,-0.6321786946501795,-0.1188479812076734,False,False,0.0,Consistently_Misclassified
