protein_id,gene,temporal_class,representation,configuration,TSNE1,TSNE2
YP_009137103.1,UL28,Late,Physicochemical,sensitivity_perp5,5.226983,8.455467
YP_009137103.1,UL28,Late,Physicochemical,sensitivity_perp25,1.295238,2.383217
YP_009137104.1,UL29,Early,Physicochemical,sensitivity_perp5,4.462523,19.84688
YP_009137104.1,UL29,Early,Physicochemical,sensitivity_perp25,1.86852,4.102203
YP_009137105.1,UL30,Early,Physicochemical,sensitivity_perp5,2.381567,22.825474
YP_009137105.1,UL30,Early,Physicochemical,sensitivity_perp25,1.741394,4.560112
YP_009137106.1,UL31,Late,Physicochemical,sensitivity_perp5,23.342485,9.522333
YP_009137106.1,UL31,Late,Physicochemical,sensitivity_perp25,-0.257322,3.586584
YP_009137107.1,UL32,Late,Physicochemical,sensitivity_perp5,1.749629,9.338552
YP_009137107.1,UL32,Late,Physicochemical,sensitivity_perp25,1.785265,2.694843
YP_009137108.1,UL33,Late,Physicochemical,sensitivity_perp5,5.269568,-30.372929
YP_009137108.1,UL33,Late,Physicochemical,sensitivity_perp25,0.012691,1.72496
YP_009137109.1,UL34,Late,Physicochemical,sensitivity_perp5,9.665982,-9.308234
YP_009137109.1,UL34,Late,Physicochemical,sensitivity_perp25,2.245009,0.03326
YP_009137110.1,UL35,Late,Physicochemical,sensitivity_perp5,-4.434028,13.982838
YP_009137110.1,UL35,Late,Physicochemical,sensitivity_perp25,2.545274,-1.760792
YP_009137111.1,UL36,Late,Physicochemical,sensitivity_perp5,7.604692,3.320539
YP_009137111.1,UL36,Late,Physicochemical,sensitivity_perp25,3.437484,4.422421
YP_009137112.1,UL37,Late,Physicochemical,sensitivity_perp5,4.786274,4.260406
YP_009137112.1,UL37,Late,Physicochemical,sensitivity_perp25,1.861772,2.217303
YP_009137113.1,UL38,Late,Physicochemical,sensitivity_perp5,7.179189,-7.957969
YP_009137113.1,UL38,Late,Physicochemical,sensitivity_perp25,0.882436,1.092409
YP_009137114.1,UL39,Early,Physicochemical,sensitivity_perp5,6.651688,20.200104
YP_009137114.1,UL39,Early,Physicochemical,sensitivity_perp25,1.489718,3.784053
YP_009137115.1,UL40,Early,Physicochemical,sensitivity_perp5,22.979601,20.159918
YP_009137115.1,UL40,Early,Physicochemical,sensitivity_perp25,0.080007,4.670447
YP_009137116.1,UL41,Late,Physicochemical,sensitivity_perp5,22.771023,12.551437
YP_009137116.1,UL41,Late,Physicochemical,sensitivity_perp25,-0.655388,3.392711
YP_009137117.1,UL42,Early,Physicochemical,sensitivity_perp5,-14.425305,-0.909745
YP_009137117.1,UL42,Early,Physicochemical,sensitivity_perp25,0.816461,-1.535489
YP_009137118.1,UL43,Late,Physicochemical,sensitivity_perp5,-2.552379,-2.246605
YP_009137118.1,UL43,Late,Physicochemical,sensitivity_perp25,2.803347,0.542159
YP_009137119.1,UL44,Late,Physicochemical,sensitivity_perp5,-25.868309,2.036077
YP_009137119.1,UL44,Late,Physicochemical,sensitivity_perp25,-0.226556,-1.54622
YP_009137120.1,UL45,Late,Physicochemical,sensitivity_perp5,-4.811529,-16.325762
YP_009137120.1,UL45,Late,Physicochemical,sensitivity_perp25,-3.099139,1.814584
YP_009137121.1,UL46,Late,Physicochemical,sensitivity_perp5,-16.025398,-11.994596
YP_009137121.1,UL46,Late,Physicochemical,sensitivity_perp25,-0.647959,0.879538
YP_009137122.1,UL47,Late,Physicochemical,sensitivity_perp5,2.220092,-10.33736
YP_009137122.1,UL47,Late,Physicochemical,sensitivity_perp25,1.230401,0.340517
YP_009137123.1,UL48,Late,Physicochemical,sensitivity_perp5,9.386505,12.255554
YP_009137123.1,UL48,Late,Physicochemical,sensitivity_perp25,0.792461,3.05672
YP_009137124.1,UL49,Late,Physicochemical,sensitivity_perp5,-12.443072,-22.277403
YP_009137124.1,UL49,Late,Physicochemical,sensitivity_perp25,-2.070761,-1.162497
YP_009137125.1,UL49A,Late,Physicochemical,sensitivity_perp5,11.548379,-11.43811
YP_009137125.1,UL49A,Late,Physicochemical,sensitivity_perp25,2.886444,-0.520544
YP_009137126.1,UL50,Early,Physicochemical,sensitivity_perp5,0.339836,-3.110895
YP_009137126.1,UL50,Early,Physicochemical,sensitivity_perp25,1.895645,0.788938
YP_009137127.1,UL51,Late,Physicochemical,sensitivity_perp5,2.254493,-23.745493
YP_009137127.1,UL51,Late,Physicochemical,sensitivity_perp25,-0.248217,0.060166
YP_009137128.1,UL52,Early,Physicochemical,sensitivity_perp5,4.247801,9.956757
YP_009137128.1,UL52,Early,Physicochemical,sensitivity_perp25,1.463092,2.886016
YP_009137129.1,UL53,Late,Physicochemical,sensitivity_perp5,17.596027,-1.796533
YP_009137129.1,UL53,Late,Physicochemical,sensitivity_perp25,0.027868,5.698322
YP_009137130.1,UL54,Immediate-Early,Physicochemical,sensitivity_perp5,-19.528166,-14.64825
YP_009137130.1,UL54,Immediate-Early,Physicochemical,sensitivity_perp25,-1.131787,0.234466
YP_009137131.1,UL55,Late,Physicochemical,sensitivity_perp5,27.88542,8.718557
YP_009137131.1,UL55,Late,Physicochemical,sensitivity_perp25,-1.794009,4.370163
YP_009137132.1,UL56,Late,Physicochemical,sensitivity_perp5,-9.657686,-19.681705
YP_009137132.1,UL56,Late,Physicochemical,sensitivity_perp25,-1.81362,-0.7988
YP_009137135.1,RS1,Immediate-Early,Physicochemical,sensitivity_perp5,1.20819,-13.072663
YP_009137135.1,RS1,Immediate-Early,Physicochemical,sensitivity_perp25,1.22769,-0.509228
YP_009137136.1,US1,Immediate-Early,Physicochemical,sensitivity_perp5,-21.901398,-15.968351
YP_009137136.1,US1,Immediate-Early,Physicochemical,sensitivity_perp25,-2.639169,0.151498
YP_009137137.1,US2,Late,Physicochemical,sensitivity_perp5,-17.018826,8.393353
YP_009137137.1,US2,Late,Physicochemical,sensitivity_perp25,-2.119782,1.90883
YP_009137138.1,US3,Early,Physicochemical,sensitivity_perp5,24.154976,13.638847
YP_009137138.1,US3,Early,Physicochemical,sensitivity_perp25,-0.509904,3.277384
YP_009137139.1,US4,Late,Physicochemical,sensitivity_perp5,-28.388582,2.994894
YP_009137139.1,US4,Late,Physicochemical,sensitivity_perp25,-0.065931,-2.09052
YP_009137140.1,US5,Late,Physicochemical,sensitivity_perp5,-5.290865,-1.353174
YP_009137140.1,US5,Late,Physicochemical,sensitivity_perp25,3.835876,0.59846
YP_009137141.1,US6,Late,Physicochemical,sensitivity_perp5,19.931002,11.516101
YP_009137141.1,US6,Late,Physicochemical,sensitivity_perp25,-0.632962,3.589612
YP_009137142.1,US7,Late,Physicochemical,sensitivity_perp5,-24.655794,1.023935
YP_009137142.1,US7,Late,Physicochemical,sensitivity_perp25,-0.431627,-1.448207
YP_009137143.1,US8,Late,Physicochemical,sensitivity_perp5,-20.770535,-10.546204
YP_009137143.1,US8,Late,Physicochemical,sensitivity_perp25,-1.228664,0.448231
YP_009137144.1,US8A,Late,Physicochemical,sensitivity_perp5,-7.022806,-18.309635
YP_009137144.1,US8A,Late,Physicochemical,sensitivity_perp25,-1.684171,-0.37612
YP_009137145.1,US9,Late,Physicochemical,sensitivity_perp5,-11.613585,-17.181501
YP_009137145.1,US9,Late,Physicochemical,sensitivity_perp25,-3.388563,-0.826781
YP_009137146.1,US10,Late,Physicochemical,sensitivity_perp5,-13.020197,-7.683844
YP_009137146.1,US10,Late,Physicochemical,sensitivity_perp25,-1.347202,1.910763
YP_009137147.1,US11,Late,Physicochemical,sensitivity_perp5,-12.370645,-25.563049
YP_009137147.1,US11,Late,Physicochemical,sensitivity_perp25,-2.491076,-1.855788
YP_009137148.1,US12,Immediate-Early,Physicochemical,sensitivity_perp5,-17.29957,-22.756294
YP_009137148.1,US12,Immediate-Early,Physicochemical,sensitivity_perp25,-3.642303,0.100885
YP_009137073.1,RL1,Late,ProtBERT,primary_perp15,-0.975445,-5.895851
YP_009137074.1,RL2,Immediate-Early,ProtBERT,primary_perp15,-0.186931,-6.52364
YP_009137075.1,UL1,Late,ProtBERT,primary_perp15,-3.852937,3.643137
YP_009137076.1,UL2,Early,ProtBERT,primary_perp15,11.043966,-7.697518
YP_009137077.1,UL3,Late,ProtBERT,primary_perp15,4.377273,3.31845
YP_009137078.1,UL4,Late,ProtBERT,primary_perp15,-4.791389,2.867544
YP_009137079.1,UL5,Early,ProtBERT,primary_perp15,1.069114,5.167005
YP_009137080.1,UL6,Late,ProtBERT,primary_perp15,-1.763682,2.232439
YP_009137081.1,UL7,Late,ProtBERT,primary_perp15,1.440098,3.202646
YP_009137082.1,UL8,Early,ProtBERT,primary_perp15,-2.275026,-2.442633
YP_009137083.1,UL9,Early,ProtBERT,primary_perp15,11.201818,-6.784651
YP_009137084.1,UL10,Late,ProtBERT,primary_perp15,-5.860863,7.72508
YP_009137085.1,UL11,Late,ProtBERT,primary_perp15,4.878564,1.743112
YP_009137086.1,UL12,Early,ProtBERT,primary_perp15,13.890872,-8.94649
YP_009137087.1,UL13,Early,ProtBERT,primary_perp15,8.207367,-4.175983
YP_009137088.1,UL14,Late,ProtBERT,primary_perp15,-5.519686,-1.224732
YP_009137089.1,UL15,Late,ProtBERT,primary_perp15,12.022963,-8.792406
YP_009137090.1,UL16,Late,ProtBERT,primary_perp15,5.584372,3.961417
YP_009137091.1,UL17,Late,ProtBERT,primary_perp15,-2.878556,-0.746306
YP_009137092.1,UL18,Late,ProtBERT,primary_perp15,-2.2188,3.937418
YP_009137093.1,UL19,Late,ProtBERT,primary_perp15,-1.559019,4.659935
YP_009137094.1,UL20,Late,ProtBERT,primary_perp15,-2.521667,8.1167
YP_009137095.1,UL21,Late,ProtBERT,primary_perp15,-1.211089,1.747216
YP_009137096.1,UL22,Late,ProtBERT,primary_perp15,-0.672685,0.905045
YP_009137097.1,UL23,Early,ProtBERT,primary_perp15,15.518224,-11.590703
YP_009137098.1,UL24,Late,ProtBERT,primary_perp15,10.079724,-7.457936
YP_009137099.1,UL25,Late,ProtBERT,primary_perp15,-0.316969,2.196969
YP_009137100.1,UL26,Late,ProtBERT,primary_perp15,1.652418,-4.38515
YP_009137101.1,UL26.5,Late,ProtBERT,primary_perp15,1.589424,-5.174814
YP_009137102.1,UL27,Late,ProtBERT,primary_perp15,0.047317,5.989717
YP_009137103.1,UL28,Late,ProtBERT,primary_perp15,-0.978458,-0.302299
YP_009137104.1,UL29,Early,ProtBERT,primary_perp15,-0.256942,4.666913
YP_009137105.1,UL30,Early,ProtBERT,primary_perp15,12.745769,-8.902104
YP_009137106.1,UL31,Late,ProtBERT,primary_perp15,-0.181738,3.43624
YP_009137107.1,UL32,Late,ProtBERT,primary_perp15,0.372407,0.172257
YP_009137108.1,UL33,Late,ProtBERT,primary_perp15,-5.863718,0.148756
YP_009137109.1,UL34,Late,ProtBERT,primary_perp15,-5.973701,3.907645
YP_009137110.1,UL35,Late,ProtBERT,primary_perp15,-5.65418,1.754473
YP_009137111.1,UL36,Late,ProtBERT,primary_perp15,0.713188,-3.476591
YP_009137112.1,UL37,Late,ProtBERT,primary_perp15,-1.65844,0.728368
YP_009137113.1,UL38,Late,ProtBERT,primary_perp15,-4.052987,0.284539
YP_009137114.1,UL39,Early,ProtBERT,primary_perp15,12.118905,-7.830293
YP_009137115.1,UL40,Early,ProtBERT,primary_perp15,11.854465,-10.32663
YP_009137116.1,UL41,Late,ProtBERT,primary_perp15,9.3776,-5.96322
YP_009137117.1,UL42,Early,ProtBERT,primary_perp15,13.735781,-8.243563
YP_009137118.1,UL43,Late,ProtBERT,primary_perp15,-7.043942,8.294888
YP_009137119.1,UL44,Late,ProtBERT,primary_perp15,14.376719,-10.816949
YP_009137120.1,UL45,Late,ProtBERT,primary_perp15,-5.439722,5.039861
YP_009137121.1,UL46,Late,ProtBERT,primary_perp15,1.350975,0.744382
YP_009137122.1,UL47,Late,ProtBERT,primary_perp15,-2.625421,-1.549596
YP_009137123.1,UL48,Late,ProtBERT,primary_perp15,1.798714,1.560146
YP_009137124.1,UL49,Late,ProtBERT,primary_perp15,3.492821,-3.141337
YP_009137125.1,UL49A,Late,ProtBERT,primary_perp15,0.008315,-2.301634
YP_009137126.1,UL50,Early,ProtBERT,primary_perp15,7.85603,-6.213029
YP_009137127.1,UL51,Late,ProtBERT,primary_perp15,-4.729774,-2.047396
YP_009137128.1,UL52,Early,ProtBERT,primary_perp15,0.295955,1.87237
YP_009137129.1,UL53,Late,ProtBERT,primary_perp15,-2.315407,8.182746
YP_009137130.1,UL54,Immediate-Early,ProtBERT,primary_perp15,2.183297,-1.837673
YP_009137131.1,UL55,Late,ProtBERT,primary_perp15,3.722879,3.846845
YP_009137132.1,UL56,Late,ProtBERT,primary_perp15,2.511122,-4.13338
YP_009137135.1,RS1,Immediate-Early,ProtBERT,primary_perp15,-1.839394,-4.592013
YP_009137136.1,US1,Immediate-Early,ProtBERT,primary_perp15,3.467519,-2.174573
YP_009137137.1,US2,Late,ProtBERT,primary_perp15,-5.730943,2.416618
YP_009137138.1,US3,Early,ProtBERT,primary_perp15,8.615065,-5.023548
YP_009137139.1,US4,Late,ProtBERT,primary_perp15,15.701369,-10.094778
YP_009137140.1,US5,Late,ProtBERT,primary_perp15,-7.010072,8.055335
YP_009137141.1,US6,Late,ProtBERT,primary_perp15,10.186185,-8.682982
YP_009137142.1,US7,Late,ProtBERT,primary_perp15,14.924176,-9.780193
YP_009137143.1,US8,Late,ProtBERT,primary_perp15,13.889991,-10.114695
YP_009137144.1,US8A,Late,ProtBERT,primary_perp15,-7.364166,2.412119
YP_009137145.1,US9,Late,ProtBERT,primary_perp15,-5.149293,6.905188
YP_009137146.1,US10,Late,ProtBERT,primary_perp15,3.701075,0.10022
YP_009137147.1,US11,Late,ProtBERT,primary_perp15,2.157354,-6.923914
YP_009137148.1,US12,Immediate-Early,ProtBERT,primary_perp15,-6.681205,0.431882
YP_009137073.1,RL1,Late,ProtBERT,sensitivity_perp5,3.677374,-15.414078
YP_009137073.1,RL1,Late,ProtBERT,sensitivity_perp25,-0.500628,-3.432338
YP_009137074.1,RL2,Immediate-Early,ProtBERT,sensitivity_perp5,3.17637,-17.825371
YP_009137074.1,RL2,Immediate-Early,ProtBERT,sensitivity_perp25,-0.132803,-3.865148
YP_009137075.1,UL1,Late,ProtBERT,sensitivity_perp5,17.043472,5.975625
YP_009137075.1,UL1,Late,ProtBERT,sensitivity_perp25,-5.40204,-0.766787
YP_009137076.1,UL2,Early,ProtBERT,sensitivity_perp5,-35.095547,-8.170289
YP_009137076.1,UL2,Early,ProtBERT,sensitivity_perp25,3.124578,-2.619234
YP_009137077.1,UL3,Late,ProtBERT,sensitivity_perp5,17.615118,19.911972
YP_009137077.1,UL3,Late,ProtBERT,sensitivity_perp25,-6.807021,0.545465
YP_009137078.1,UL4,Late,ProtBERT,sensitivity_perp5,20.045702,4.012766
YP_009137078.1,UL4,Late,ProtBERT,sensitivity_perp25,-5.437131,-1.415497
YP_009137079.1,UL5,Early,ProtBERT,sensitivity_perp5,-11.178214,6.100413
YP_009137079.1,UL5,Early,ProtBERT,sensitivity_perp25,-3.88746,1.412723
YP_009137080.1,UL6,Late,ProtBERT,sensitivity_perp5,-2.464875,8.706805
YP_009137080.1,UL6,Late,ProtBERT,sensitivity_perp25,-3.936062,-0.981177
YP_009137081.1,UL7,Late,ProtBERT,sensitivity_perp5,10.726602,12.498104
YP_009137081.1,UL7,Late,ProtBERT,sensitivity_perp25,-5.115332,0.625297
YP_009137082.1,UL8,Early,ProtBERT,sensitivity_perp5,4.3862,-6.740473
YP_009137082.1,UL8,Early,ProtBERT,sensitivity_perp25,-2.178368,-1.602117
YP_009137083.1,UL9,Early,ProtBERT,sensitivity_perp5,-36.210472,-4.638228
YP_009137083.1,UL9,Early,ProtBERT,sensitivity_perp25,3.149103,-2.276355
YP_009137084.1,UL10,Late,ProtBERT,sensitivity_perp5,37.243244,-5.289145
YP_009137084.1,UL10,Late,ProtBERT,sensitivity_perp25,-0.970402,1.027125
YP_009137085.1,UL11,Late,ProtBERT,sensitivity_perp5,17.719744,23.333126
YP_009137085.1,UL11,Late,ProtBERT,sensitivity_perp25,-7.144336,-0.175911
YP_009137086.1,UL12,Early,ProtBERT,sensitivity_perp5,-48.663578,-6.456707
YP_009137086.1,UL12,Early,ProtBERT,sensitivity_perp25,4.15,-3.599203
YP_009137087.1,UL13,Early,ProtBERT,sensitivity_perp5,-25.309776,-0.695468
