protein_id,gene,temporal_class,sequence_length,molecular_weight,aromaticity,instability_index,isoelectric_point,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y
YP_009137083.1,UL9,Early,851.0,94234.6104000006,0.0846063454759107,42.34242068155127,8.233982658386232,0.0846063454759107,0.0282021151586369,0.05052878965922444,0.04465334900117509,0.045828437132784956,0.07285546415981199,0.0282021151586369,0.03290246768507638,0.0199764982373678,0.12103407755581669,0.0282021151586369,0.0282021151586369,0.0564042303172738,0.0282021151586369,0.08108108108108109,0.06580493537015276,0.06698002350176263,0.07755581668625147,0.011750881316098707,0.02702702702702703
YP_009137084.1,UL10,Late,473.0,51391.9172000001,0.09513742071881606,37.33215644820297,8.99541873931885,0.13107822410147993,0.023255813953488372,0.04439746300211417,0.023255813953488372,0.03171247357293869,0.07822410147991543,0.040169133192389,0.02748414376321353,0.008456659619450317,0.10782241014799154,0.021141649048625793,0.014799154334038054,0.05496828752642706,0.021141649048625793,0.07822410147991543,0.048625792811839326,0.06342494714587738,0.11839323467230443,0.012684989429175475,0.0507399577167019
YP_009137085.1,UL11,Late,96.0,10486.51639999999,0.05208333333333334,72.83343749999999,5.261665153503418,0.052083333333333336,0.041666666666666664,0.08333333333333333,0.0625,0.041666666666666664,0.08333333333333333,0.03125,0.020833333333333332,0.0,0.041666666666666664,0.03125,0.03125,0.11458333333333333,0.020833333333333332,0.10416666666666667,0.09375,0.0625,0.07291666666666667,0.0,0.010416666666666666
YP_009137086.1,UL12,Early,626.0,67507.45550000037,0.06389776357827476,53.360894568690256,6.559242439270019,0.11501597444089456,0.01597444089456869,0.06389776357827476,0.0463258785942492,0.03194888178913738,0.07028753993610223,0.03035143769968051,0.03035143769968051,0.019169329073482427,0.0878594249201278,0.01437699680511182,0.01757188498402556,0.11980830670926518,0.022364217252396165,0.08466453674121406,0.08306709265175719,0.05750798722044728,0.05750798722044728,0.01597444089456869,0.01597444089456869
YP_009137087.1,UL13,Early,518.0,57196.129700000056,0.0694980694980695,54.15926640926656,10.20432987213135,0.09652509652509653,0.019305019305019305,0.02895752895752896,0.03474903474903475,0.03667953667953668,0.06177606177606178,0.0444015444015444,0.03667953667953668,0.02895752895752896,0.1274131274131274,0.011583011583011582,0.04247104247104247,0.06563706563706563,0.03474903474903475,0.09073359073359073,0.08494208494208494,0.05791505791505792,0.0637065637065637,0.005791505791505791,0.02702702702702703
YP_009137088.1,UL14,Late,219.0,23933.48749999997,0.0502283105022831,47.846575342465734,5.828122520446779,0.1598173515981735,0.0045662100456621,0.0776255707762557,0.0684931506849315,0.0182648401826484,0.0593607305936073,0.0319634703196347,0.0136986301369863,0.0228310502283105,0.0958904109589041,0.0273972602739726,0.0091324200913242,0.091324200913242,0.0365296803652968,0.1004566210045662,0.0547945205479452,0.0639269406392694,0.0319634703196347,0.0136986301369863,0.0182648401826484
YP_009137089.1,UL15,Late,735.0,80921.56330000037,0.09523809523809523,33.352938775510246,8.54852390289307,0.10884353741496598,0.013605442176870748,0.050340136054421766,0.04353741496598639,0.06666666666666667,0.0653061224489796,0.034013605442176874,0.0380952380952381,0.0326530612244898,0.09931972789115646,0.017687074829931974,0.0326530612244898,0.04625850340136054,0.036734693877551024,0.06802721088435375,0.061224489795918366,0.07346938775510205,0.08299319727891157,0.0027210884353741495,0.02585034013605442
YP_009137090.1,UL16,Late,373.0,40442.32920000007,0.06970509383378017,53.08471849865948,8.055469703674316,0.10455764075067024,0.05361930294906166,0.04825737265415549,0.040214477211796246,0.03485254691689008,0.064343163538874,0.01876675603217158,0.032171581769437,0.010723860589812333,0.1126005361930295,0.00804289544235925,0.01876675603217158,0.11796246648793565,0.021447721179624665,0.08579088471849866,0.058981233243967826,0.06702412868632708,0.06702412868632708,0.021447721179624665,0.013404825737265416
YP_009137091.1,UL17,Late,703.0,74608.4183000004,0.06685633001422475,52.844238975818094,8.945520210266114,0.15362731152204837,0.021337126600284494,0.04551920341394026,0.041251778093883355,0.029871977240398292,0.09388335704125178,0.02702702702702703,0.029871977240398292,0.008534850640113799,0.10241820768136557,0.011379800853485065,0.01849217638691323,0.08250355618776671,0.029871977240398292,0.09246088193456614,0.05832147937411095,0.03698435277382646,0.07965860597439545,0.011379800853485065,0.025604551920341393
YP_009137092.1,UL18,Late,318.0,34270.32230000003,0.05031446540880503,50.11698113207545,5.83767147064209,0.10062893081761007,0.012578616352201259,0.059748427672955975,0.03459119496855346,0.025157232704402517,0.06918238993710692,0.012578616352201259,0.04716981132075472,0.0,0.1509433962264151,0.015723270440251572,0.031446540880503145,0.08490566037735849,0.03459119496855346,0.08490566037735849,0.05345911949685535,0.059748427672955975,0.09748427672955975,0.0031446540880503146,0.0220125786163522
YP_009137093.1,UL19,Late,1374.0,149068.02969999987,0.08005822416302766,35.59943959243109,6.0267747879028315,0.13755458515283842,0.018195050946142648,0.056768558951965066,0.043668122270742356,0.04294032023289665,0.07278020378457059,0.033478893740902474,0.018922852983988356,0.013828238719068414,0.10844250363901019,0.021834061135371178,0.042212518195050945,0.06914119359534207,0.03857350800582242,0.06914119359534207,0.03566229985443959,0.05240174672489083,0.08733624454148471,0.006550218340611353,0.03056768558951965
YP_009137094.1,UL20,Late,222.0,24230.900599999986,0.13513513513513514,35.46171171171171,5.566776847839355,0.14864864864864866,0.013513513513513514,0.04504504504504504,0.036036036036036036,0.08108108108108109,0.06306306306306306,0.013513513513513514,0.03153153153153153,0.013513513513513514,0.12612612612612611,0.03153153153153153,0.018018018018018018,0.06306306306306306,0.013513513513513514,0.05405405405405406,0.06756756756756757,0.04954954954954955,0.07657657657657657,0.02252252252252252,0.03153153153153153
YP_009137095.1,UL21,Late,535.0,57640.85130000015,0.07476635514018692,46.95050467289728,7.690452003479005,0.11214953271028037,0.011214953271028037,0.05794392523364486,0.04299065420560748,0.03551401869158879,0.08598130841121496,0.020560747663551402,0.03177570093457944,0.011214953271028037,0.10467289719626169,0.007476635514018692,0.020560747663551402,0.07289719626168224,0.029906542056074768,0.09158878504672897,0.07289719626168224,0.048598130841121495,0.102803738317757,0.005607476635514018,0.03364485981308411
YP_009137096.1,UL22,Late,838.0,90365.08590000056,0.08591885441527447,42.65096658711233,6.609772300720215,0.12649164677804295,0.00954653937947494,0.0477326968973747,0.03818615751789976,0.0441527446300716,0.07517899761336516,0.025059665871121718,0.02386634844868735,0.008353221957040573,0.12410501193317422,0.010739856801909307,0.025059665871121718,0.08711217183770883,0.029832935560859187,0.07279236276849642,0.060859188544152745,0.07159904534606205,0.07756563245823389,0.017899761336515514,0.02386634844868735
YP_009137097.1,UL23,Early,376.0,40920.529200000055,0.06382978723404255,52.52260638297873,8.66953105926514,0.125,0.010638297872340425,0.05053191489361702,0.034574468085106384,0.02127659574468085,0.0797872340425532,0.031914893617021274,0.04521276595744681,0.013297872340425532,0.10904255319148937,0.034574468085106384,0.023936170212765957,0.0797872340425532,0.047872340425531915,0.0797872340425532,0.0425531914893617,0.07180851063829788,0.05585106382978723,0.010638297872340425,0.031914893617021274
YP_009137098.1,UL24,Late,269.0,29446.03310000001,0.040892193308550186,60.63163568773233,10.866678047180176,0.10037174721189591,0.02973977695167286,0.026022304832713755,0.048327137546468404,0.026022304832713755,0.06691449814126393,0.01486988847583643,0.03717472118959108,0.05204460966542751,0.09665427509293681,0.01486988847583643,0.007434944237918215,0.05947955390334572,0.03717472118959108,0.12267657992565056,0.07806691449814127,0.07806691449814127,0.08921933085501858,0.0,0.01486988847583643
YP_009137099.1,UL25,Late,580.0,62669.3030000002,0.07413793103448277,37.857758620689665,5.778217887878417,0.14482758620689656,0.013793103448275862,0.06379310344827586,0.04482758620689655,0.034482758620689655,0.08275862068965517,0.02586206896551724,0.03793103448275862,0.008620689655172414,0.11206896551724138,0.01896551724137931,0.03793103448275862,0.05517241379310345,0.03620689655172414,0.08103448275862069,0.04310344827586207,0.05344827586206897,0.06551724137931035,0.006896551724137931,0.032758620689655175
YP_009137100.1,UL26,Late,635.0,66455.99790000022,0.06141732283464567,51.578425196850624,6.208375358581542,0.15905511811023623,0.012598425196850394,0.04409448818897638,0.048818897637795275,0.01889763779527559,0.09133858267716535,0.031496062992125984,0.025196850393700787,0.007874015748031496,0.07401574803149606,0.01732283464566929,0.01732283464566929,0.13543307086614173,0.03307086614173228,0.07244094488188976,0.06141732283464567,0.048818897637795275,0.05826771653543307,0.006299212598425197,0.03622047244094488
YP_009137101.1,UL26.5,Late,329.0,33745.97230000005,0.0668693009118541,59.81155015197568,6.134029960632325,0.1702127659574468,0.0121580547112462,0.03343465045592705,0.03951367781155015,0.015197568389057751,0.10030395136778116,0.0425531914893617,0.0121580547112462,0.00303951367781155,0.03951367781155015,0.0182370820668693,0.015197568389057751,0.1762917933130699,0.0486322188449848,0.05167173252279635,0.06990881458966565,0.05167173252279635,0.0486322188449848,0.00303951367781155,0.0486322188449848
YP_009137102.1,UL27,Late,904.0,100263.24440000059,0.09513274336283187,40.29051991150458,8.296452522277832,0.10619469026548672,0.011061946902654867,0.05420353982300885,0.0586283185840708,0.04424778761061947,0.06969026548672566,0.023230088495575223,0.030973451327433628,0.04424778761061947,0.06747787610619468,0.02654867256637168,0.04424778761061947,0.06526548672566372,0.02654867256637168,0.07300884955752213,0.051991150442477874,0.07632743362831858,0.0752212389380531,0.00995575221238938,0.04092920353982301
YP_009137103.1,UL28,Late,785.0,85577.07500000061,0.07006369426751592,41.35886624203837,6.14164638519287,0.12738853503184713,0.02165605095541401,0.05987261146496815,0.062420382165605096,0.03821656050955414,0.08789808917197452,0.030573248407643312,0.02929936305732484,0.011464968152866241,0.1159235668789809,0.012738853503184714,0.016560509554140127,0.05859872611464968,0.03694267515923567,0.09681528662420383,0.04713375796178344,0.050955414012738856,0.06369426751592357,0.006369426751592357,0.025477707006369428
YP_009137104.1,UL29,Early,1196.0,128346.41870000066,0.08193979933110368,35.0945819397995,6.025638008117675,0.13043478260869565,0.01839464882943144,0.047658862876254184,0.056020066889632104,0.052675585284280936,0.09197324414715718,0.0225752508361204,0.026755852842809364,0.026755852842809364,0.09866220735785954,0.024247491638795988,0.04013377926421405,0.057692307692307696,0.030936454849498328,0.06438127090301003,0.05852842809364549,0.051839464882943144,0.07107023411371237,0.006688963210702341,0.0225752508361204
YP_009137105.1,UL30,Early,1235.0,136504.5600000007,0.09473684210526315,42.28837246963591,7.0369173049926745,0.11174089068825911,0.01700404858299595,0.055870445344129556,0.06396761133603239,0.048582995951417005,0.08178137651821862,0.025910931174089068,0.0437246963562753,0.04129554655870445,0.09797570850202429,0.01700404858299595,0.02348178137651822,0.06396761133603239,0.025101214574898785,0.07692307692307693,0.0437246963562753,0.048582995951417005,0.06720647773279352,0.0072874493927125505,0.038866396761133605
YP_009137106.1,UL31,Late,306.0,33952.71720000003,0.09477124183006537,58.81571895424834,8.973435020446779,0.09477124183006536,0.029411764705882353,0.049019607843137254,0.0392156862745098,0.049019607843137254,0.08169934640522876,0.03594771241830065,0.042483660130718956,0.0196078431372549,0.1111111111111111,0.0196078431372549,0.016339869281045753,0.0718954248366013,0.032679738562091505,0.0915032679738562,0.05555555555555555,0.05555555555555555,0.058823529411764705,0.0032679738562091504,0.042483660130718956
YP_009137107.1,UL32,Late,596.0,63949.21640000028,0.08053691275167785,39.38489932885909,6.444314002990722,0.1325503355704698,0.03691275167785235,0.050335570469798654,0.05536912751677853,0.04530201342281879,0.09060402684563758,0.025167785234899327,0.02181208053691275,0.025167785234899327,0.10570469798657718,0.01174496644295302,0.016778523489932886,0.06879194630872483,0.02348993288590604,0.0738255033557047,0.05536912751677853,0.06208053691275168,0.06375838926174497,0.013422818791946308,0.02181208053691275
YP_009137108.1,UL33,Late,130.0,14522.274899999977,0.06153846153846154,33.30615384615384,6.828716087341309,0.13846153846153847,0.015384615384615385,0.08461538461538462,0.05384615384615385,0.03076923076923077,0.046153846153846156,0.023076923076923078,0.03076923076923077,0.023076923076923078,0.11538461538461539,0.015384615384615385,0.015384615384615385,0.05384615384615385,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.08461538461538462,0.046153846153846156,0.007692307692307693,0.023076923076923078
YP_009137109.1,UL34,Late,275.0,29789.950599999993,0.07999999999999999,42.2912727272727,10.522094535827637,0.09818181818181818,0.014545454545454545,0.03636363636363636,0.04,0.04363636363636364,0.13454545454545455,0.025454545454545455,0.04363636363636364,0.01090909090909091,0.10545454545454545,0.025454545454545455,0.01818181818181818,0.07636363636363637,0.02909090909090909,0.10909090909090909,0.05090909090909091,0.05090909090909091,0.05090909090909091,0.01818181818181818,0.01818181818181818
YP_009137110.1,UL35,Late,112.0,12095.552999999982,0.08035714285714286,43.640178571428564,11.129709053039551,0.125,0.0,0.03571428571428571,0.017857142857142856,0.0625,0.08035714285714286,0.03571428571428571,0.008928571428571428,0.0,0.08035714285714286,0.03571428571428571,0.05357142857142857,0.10714285714285714,0.05357142857142857,0.08035714285714286,0.044642857142857144,0.09821428571428571,0.0625,0.008928571428571428,0.008928571428571428
YP_009137111.1,UL36,Late,3139.0,333438.1327000056,0.05288308378464479,54.21472443453355,5.843696403503418,0.15801210576616756,0.007645747053201656,0.05511309334182861,0.05734310289901243,0.0270786874800892,0.0678560050971647,0.017840076457470534,0.01752150366358713,0.015610066900286716,0.10449187639375597,0.011150047785919083,0.0136986301369863,0.11277476903472443,0.042688754380375914,0.08346607199745142,0.06052883083784645,0.05543166613571201,0.06594456833386429,0.010194329404268876,0.015610066900286716
YP_009137112.1,UL37,Late,1123.0,120510.72560000065,0.0578806767586821,46.41487088156749,5.769692039489747,0.13357079252003562,0.012466607301869992,0.04719501335707925,0.053428317008014245,0.029385574354407838,0.06589492430988424,0.024933214603739984,0.026714158504007122,0.009795191451469279,0.12911843276936777,0.020480854853072127,0.014247551202137132,0.0854853072128228,0.041852181656277826,0.07212822796081923,0.06411398040961709,0.06322350845948353,0.07747105966162066,0.01068566340160285,0.017809439002671415
YP_009137113.1,UL38,Late,465.0,50262.80740000005,0.06021505376344086,41.758709677419354,9.116232490539552,0.12258064516129032,0.025806451612903226,0.04946236559139785,0.043010752688172046,0.030107526881720432,0.09462365591397849,0.02795698924731183,0.01935483870967742,0.0064516129032258064,0.10967741935483871,0.017204301075268817,0.021505376344086023,0.09032258064516129,0.034408602150537634,0.1053763440860215,0.03870967741935484,0.07311827956989247,0.060215053763440864,0.015053763440860216,0.015053763440860216
YP_009137114.1,UL39,Early,1137.0,124022.13940000052,0.07827616534740545,48.68373790677243,6.113113212585449,0.10026385224274406,0.025505716798592787,0.06244503078276165,0.051890941072999124,0.040457343887423045,0.08267370272647317,0.025505716798592787,0.026385224274406333,0.028144239226033423,0.09410729991204925,0.028144239226033423,0.030782761653474055,0.06244503078276165,0.029023746701846966,0.07387862796833773,0.07387862796833773,0.06068601583113457,0.06596306068601583,0.008795074758135445,0.029023746701846966
YP_009137115.1,UL40,Early,340.0,37960.721100000104,0.10294117647058823,57.39417647058825,5.1326406478881825,0.10588235294117647,0.020588235294117647,0.05588235294117647,0.06470588235294118,0.05588235294117647,0.041176470588235294,0.029411764705882353,0.06764705882352941,0.023529411764705882,0.11176470588235295,0.011764705882352941,0.04411764705882353,0.052941176470588235,0.029411764705882353,0.05588235294117647,0.07941176470588235,0.04411764705882353,0.058823529411764705,0.0058823529411764705,0.041176470588235294
YP_009137116.1,UL41,Late,489.0,54976.1388000001,0.08384458077709611,56.328036809816055,7.973917198181152,0.08588957055214724,0.022494887525562373,0.06134969325153374,0.049079754601226995,0.03067484662576687,0.049079754601226995,0.032719836400818,0.053169734151329244,0.028629856850715747,0.09815950920245399,0.018404907975460124,0.024539877300613498,0.07975460122699386,0.026584867075664622,0.08588957055214724,0.065439672801636,0.07770961145194274,0.05725971370143149,0.012269938650306749,0.0408997955010225
YP_009137117.1,UL42,Early,488.0,51158.611700000205,0.06147540983606557,45.24200819672134,5.5234086990356435,0.1168032786885246,0.014344262295081968,0.05942622950819672,0.0430327868852459,0.0430327868852459,0.08811475409836066,0.012295081967213115,0.01639344262295082,0.02663934426229508,0.09016393442622951,0.010245901639344262,0.018442622950819672,0.0778688524590164,0.0430327868852459,0.06147540983606557,0.09631147540983606,0.0942622950819672,0.06967213114754098,0.006147540983606557,0.012295081967213115
YP_009137118.1,UL43,Late,417.0,42921.26639999999,0.07434052757793765,47.58369304556355,9.294294166564942,0.15587529976019185,0.019184652278177457,0.03597122302158273,0.023980815347721823,0.03597122302158273,0.13189448441247004,0.02158273381294964,0.016786570743405275,0.007194244604316547,0.1223021582733813,0.011990407673860911,0.009592326139088728,0.10071942446043165,0.02158273381294964,0.07194244604316546,0.0407673860911271,0.0407673860911271,0.09352517985611511,0.02158273381294964,0.016786570743405275
YP_009137119.1,UL44,Late,511.0,55021.528900000114,0.07436399217221135,46.62446183953039,7.664192390441895,0.0821917808219178,0.015655577299412915,0.03522504892367906,0.04500978473581213,0.025440313111545987,0.0821917808219178,0.025440313111545987,0.033268101761252444,0.01761252446183953,0.05675146771037182,0.01761252446183953,0.025440313111545987,0.12720156555772993,0.033268101761252444,0.06457925636007827,0.07045009784735812,0.1095890410958904,0.08414872798434442,0.021526418786692758,0.0273972602739726
YP_009137120.1,UL45,Late,172.0,18179.78129999998,0.08139534883720931,47.91744186046512,8.637554740905763,0.13372093023255813,0.03488372093023256,0.029069767441860465,0.03488372093023256,0.023255813953488372,0.11046511627906977,0.01744186046511628,0.05232558139534884,0.005813953488372093,0.08139534883720931,0.01744186046511628,0.011627906976744186,0.09302325581395349,0.029069767441860465,0.0755813953488372,0.0755813953488372,0.03488372093023256,0.08139534883720931,0.03488372093023256,0.023255813953488372
YP_009137121.1,UL46,Late,718.0,78240.48360000043,0.06545961002785515,56.95515320334284,9.13982791900635,0.12674094707520892,0.013927576601671309,0.055710306406685235,0.04596100278551532,0.016713091922005572,0.07103064066852367,0.026462395543175487,0.020891364902506964,0.01532033426183844,0.10027855153203342,0.016713091922005572,0.027855153203342618,0.09749303621169916,0.023676880222841225,0.10167130919220056,0.06685236768802229,0.06963788300835655,0.054317548746518104,0.016713091922005572,0.03203342618384401
YP_009137122.1,UL47,Late,693.0,73816.0020000004,0.062049062049062055,57.35860028860054,9.286686897277832,0.16161616161616163,0.010101010101010102,0.06349206349206349,0.047619047619047616,0.03318903318903319,0.09235209235209235,0.01875901875901876,0.008658008658008658,0.008658008658008658,0.10533910533910534,0.012987012987012988,0.007215007215007215,0.08225108225108226,0.024531024531024532,0.11544011544011544,0.05339105339105339,0.04040404040404041,0.08513708513708514,0.008658008658008658,0.020202020202020204
YP_009137123.1,UL48,Late,490.0,54344.77630000017,0.09183673469387756,42.745918367346995,4.850378227233886,0.11836734693877551,0.012244897959183673,0.0836734693877551,0.05918367346938776,0.04693877551020408,0.0653061224489796,0.026530612244897958,0.018367346938775512,0.00816326530612245,0.1326530612244898,0.0326530612244898,0.024489795918367346,0.08163265306122448,0.02040816326530612,0.08163265306122448,0.053061224489795916,0.05510204081632653,0.03469387755102041,0.00816326530612245,0.036734693877551024
YP_009137124.1,UL49,Late,301.0,32253.612100000053,0.03986710963455149,64.18870431893689,10.498756980895994,0.14285714285714285,0.006644518272425249,0.053156146179401995,0.053156146179401995,0.013289036544850499,0.0664451827242525,0.009966777408637873,0.006644518272425249,0.023255813953488372,0.04983388704318937,0.016611295681063124,0.019933554817275746,0.12292358803986711,0.029900332225913623,0.12956810631229235,0.08637873754152824,0.07973421926910298,0.06312292358803986,0.006644518272425249,0.019933554817275746
YP_009137125.1,UL49A,Late,91.0,9201.673799999999,0.03296703296703297,31.681428571428558,7.6600431442260755,0.14285714285714285,0.054945054945054944,0.02197802197802198,0.04395604395604396,0.02197802197802198,0.17582417582417584,0.02197802197802198,0.04395604395604396,0.0,0.08791208791208792,0.04395604395604396,0.01098901098901099,0.07692307692307693,0.04395604395604396,0.07692307692307693,0.02197802197802198,0.02197802197802198,0.07692307692307693,0.0,0.01098901098901099
YP_009137126.1,UL50,Early,371.0,39127.3984,0.0646900269541779,52.1353099730458,7.815131568908692,0.11859838274932614,0.008086253369272238,0.04851752021563342,0.03773584905660377,0.03234501347708895,0.1078167115902965,0.0215633423180593,0.03234501347708895,0.013477088948787063,0.09703504043126684,0.016172506738544475,0.02425876010781671,0.09973045822102426,0.0215633423180593,0.07547169811320754,0.04582210242587601,0.0646900269541779,0.10242587601078167,0.016172506738544475,0.016172506738544475
YP_009137127.1,UL51,Late,244.0,25435.912799999973,0.020491803278688527,58.03729508196722,5.873138999938964,0.1680327868852459,0.020491803278688523,0.05327868852459016,0.05737704918032787,0.004098360655737705,0.07377049180327869,0.02459016393442623,0.03278688524590164,0.01639344262295082,0.0942622950819672,0.036885245901639344,0.012295081967213115,0.10245901639344263,0.02459016393442623,0.0778688524590164,0.06147540983606557,0.04918032786885246,0.07377049180327869,0.004098360655737705,0.012295081967213115
YP_009137128.1,UL52,Early,1058.0,114422.19870000082,0.0831758034026465,43.138846880907586,6.420555305480956,0.13705103969754254,0.026465028355387523,0.06049149338374291,0.045368620037807186,0.04253308128544423,0.07655954631379962,0.030245746691871456,0.034026465028355386,0.017958412098298678,0.0888468809073724,0.010396975425330813,0.01984877126654064,0.07088846880907372,0.0330812854442344,0.07939508506616257,0.054820415879017016,0.06427221172022685,0.0671077504725898,0.006616257088846881,0.034026465028355386
YP_009137129.1,UL53,Late,338.0,37572.18490000001,0.10355029585798817,44.269526627218916,9.568993949890135,0.09171597633136094,0.038461538461538464,0.014792899408284023,0.023668639053254437,0.04142011834319527,0.06804733727810651,0.029585798816568046,0.05917159763313609,0.01775147928994083,0.12130177514792899,0.023668639053254437,0.03550295857988166,0.05029585798816568,0.029585798816568046,0.07100591715976332,0.038461538461538464,0.0650887573964497,0.11834319526627218,0.01775147928994083,0.04437869822485207
YP_009137130.1,UL54,Immediate-Early,512.0,55222.440500000055,0.048828125,68.6391015625002,6.482509803771973,0.115234375,0.0234375,0.072265625,0.056640625,0.0234375,0.091796875,0.0234375,0.03515625,0.017578125,0.076171875,0.017578125,0.01953125,0.115234375,0.03125,0.10546875,0.064453125,0.04296875,0.04296875,0.01171875,0.013671875
YP_009137131.1,UL55,Late,186.0,20492.349,0.08064516129032258,42.35537634408602,9.337165641784669,0.11827956989247312,0.043010752688172046,0.03225806451612903,0.03763440860215054,0.03763440860215054,0.04838709677419355,0.053763440860215055,0.04838709677419355,0.043010752688172046,0.06989247311827956,0.021505376344086023,0.026881720430107527,0.053763440860215055,0.010752688172043012,0.07526881720430108,0.08602150537634409,0.08602150537634409,0.06451612903225806,0.010752688172043012,0.03225806451612903
