protein_id,gene,temporal_class,functional_category,ProtBERT_PC1,ProtBERT_PC2,ProtBERT_tSNE1,ProtBERT_tSNE2,ProtBERT_UMAP1,ProtBERT_UMAP2
YP_009137114.1,YP_009137114.1 UL39,Early,Nucleotide Metabolism,-6.9389544,9.515119,-2.83056,-6.533969,3.8281384,10.283402
YP_009137115.1,YP_009137115.1 UL40,Early,Nucleotide Metabolism,-23.885376,23.49122,-2.8685613,-7.7102084,3.6107664,10.455387
YP_009137116.1,YP_009137116.1 UL41,Late,Host Shutoff,-10.486463,6.309906,-4.3082743,-5.0285826,3.2512774,10.538597
YP_009137117.1,YP_009137117.1 UL42,Early,DNA Replication/Processivity,-24.551218,4.075621,-7.375024,-5.905694,3.0625062,10.8141575
YP_009137118.1,YP_009137118.1 UL43,Late,Envelope/Membrane,4.951051,-2.8482702,6.7148657,-7.667311,11.070663,4.7042217
YP_009137119.1,YP_009137119.1 UL44,Late,Glycoprotein/Attachment,-36.86746,-10.160521,-11.29808,-5.9022565,2.498334,11.069286
YP_009137120.1,YP_009137120.1 UL45,Late,Envelope,5.521219,0.88174814,5.8422165,-3.7639494,10.494105,4.4900527
YP_009137121.1,YP_009137121.1 UL46,Late,Tegument,8.558286,-0.15429541,1.5416987,3.0907693,10.790258,7.6900454
YP_009137122.1,YP_009137122.1 UL47,Late,Tegument,12.145975,-0.58920604,-1.0711375,3.7333167,11.407704,8.315302
YP_009137123.1,YP_009137123.1 UL48,Late,Tegument/Transactivator,9.842703,4.4158106,1.9125344,3.5219114,11.096934,7.517494
YP_009137124.1,YP_009137124.1 UL49,Late,Tegument/Major,2.4120872,-10.239737,5.077584,5.002154,10.167646,7.9520574
YP_009137125.1,YP_009137125.1 UL49A,Late,Glycoprotein/Entry,2.3898563,-10.308195,0.4125465,5.1159916,9.354226,8.302056
YP_009137126.1,YP_009137126.1 UL50,Early,Nucleotide Metabolism,-5.9974456,9.588235,-0.42773122,-4.9269524,3.9461436,9.840501
YP_009137127.1,YP_009137127.1 UL51,Late,Tegument/Secondary Envelopment,6.278159,-0.29200453,5.160725,0.7335473,9.429284,4.6418676
YP_009137128.1,YP_009137128.1 UL52,Early,DNA Replication/Replication Fork,14.130706,7.8005586,0.071321175,0.08185271,11.784747,6.9578567
YP_009137129.1,YP_009137129.1 UL53,Late,Glycoprotein/Entry & Fusion,6.744036,11.586713,4.2097015,-6.9536753,11.304672,5.466386
YP_009137130.1,YP_009137130.1 UL54,Immediate-Early,RNA Export/Processing,5.846912,-8.269005,4.3437343,3.5918515,9.871103,7.7564125
YP_009137131.1,YP_009137131.1 UL55,Late,Nuclear Egress,6.5746365,2.2360542,8.955606,2.3326595,10.153051,6.2225394
YP_009137132.1,YP_009137132.1 UL56,Late,Pathogenicity/Egress,2.6227446,-8.553316,2.9099603,5.6908216,9.810086,8.002861
YP_009137135.1,YP_009137135.1 RS1,Immediate-Early,Regulatory/Transactivator,12.348599,-10.992035,-1.7517955,5.382826,10.675426,8.492353
YP_009137136.1,YP_009137136.1 US1,Immediate-Early,Regulatory/Transactivator,2.5222068,-7.476704,5.341413,4.6194663,10.11734,7.465759
YP_009137137.1,YP_009137137.1 US2,Late,Tegument/Immune Modulation,7.926235,-0.84120685,6.334906,-1.133626,10.172358,5.5363655
YP_009137138.1,YP_009137138.1 US3,Early,Protein Kinase/Anti-apoptotic,-2.1365569,2.6316774,-3.2759902,-4.158426,4.522545,9.869228
YP_009137139.1,YP_009137139.1 US4,Late,Glycoprotein/Entry,-43.446236,-14.915577,-10.690929,-4.3754497,2.6106336,11.006946
YP_009137140.1,YP_009137140.1 US5,Late,Glycoprotein/Immune Evasion,6.6953783,-9.594008,7.0930486,-7.4340677,10.757722,4.8663645
YP_009137141.1,YP_009137141.1 US6,Late,Glycoprotein/Primary Receptor Binding,-23.411705,-1.2806776,-9.779785,-5.857386,2.4466882,10.699759
YP_009137142.1,YP_009137142.1 US7,Late,Glycoprotein/Cell-to-Cell Spread,-36.320667,-7.7457232,-10.221868,-5.4236994,2.3695922,10.678349
YP_009137143.1,YP_009137143.1 US8,Late,Glycoprotein/Cell-to-Cell Spread,-31.882029,-5.938507,-10.613112,-6.1980186,2.356308,11.024273
YP_009137144.1,YP_009137144.1 US8A,Late,Tegument/Membrane,8.0666685,-13.315147,7.330271,1.1681447,9.659105,5.9039016
YP_009137145.1,YP_009137145.1 US9,Late,Tegument/Anterograde Transport,3.2631755,-2.3138998,7.0723643,-4.8802366,10.791778,4.425456
YP_009137146.1,YP_009137146.1 US10,Late,Tegument,7.3341126,-15.6754875,4.994818,7.806967,9.228405,7.625171
YP_009137147.1,YP_009137147.1 US11,Late,RNA-binding/PKR Antagonist,-0.2271304,-29.891111,6.191468,7.93595,9.516439,7.531835
YP_009137148.1,YP_009137148.1 US12,Immediate-Early,Immune Evasion,6.571393,-7.8794556,8.740336,-2.2488678,9.638076,5.215037
