protein_id,gene,temporal_class,functional_category,tSNE_1,tSNE_2,UMAP_1,UMAP_2
YP_009137097.1,UL23,Early,Nucleotide Metabolism,-4.270608,2.4579167,4.537097,4.6940436
YP_009137098.1,UL24,Late,Pathogenicity/Egress,2.8862877,-4.495014,5.4731956,6.3557363
YP_009137099.1,UL25,Late,Capsid Vertex/Packaging,3.339428,0.68634707,2.8919775,5.7691555
YP_009137100.1,UL26,Late,Capsid Scaffolding/Protease,1.6396923,-9.3134985,5.145537,6.969079
YP_009137101.1,UL26.5,Late,Capsid Scaffolding,1.9624494,-9.987891,5.571735,6.2161098
YP_009137102.1,UL27,Late,Glycoprotein/Entry & Fusion,3.765088,5.4410987,2.1966724,4.731821
YP_009137103.1,UL28,Late,DNA Packaging/Terminase,2.1365497,0.0011178507,3.1620932,6.2377405
YP_009137104.1,UL29,Early,DNA Replication/SSB,3.16751,3.4287634,2.3228061,5.227482
YP_009137105.1,UL30,Early,DNA Replication/Polymerase,4.0445204,4.3602133,2.181949,4.9733844
YP_009137106.1,UL31,Late,Nuclear Egress,-1.7434494,5.0636444,3.945752,4.277312
YP_009137107.1,UL32,Late,DNA Packaging,1.3155415,-0.6314406,3.2303576,5.8987823
YP_009137108.1,UL33,Late,DNA Packaging/Terminase,5.789891,-2.7005513,3.8214219,7.000468
YP_009137109.1,UL34,Late,Nuclear Egress,-4.5683136,-0.5593973,4.9622307,5.703601
YP_009137110.1,UL35,Late,Capsid/Small Capsid,-5.2489953,1.95005,4.7041836,5.0361557
YP_009137111.1,UL36,Late,Tegument/Large Tegument,1.2292497,1.7919039,2.534338,6.308569
YP_009137112.1,UL37,Late,Tegument/Inner Tegument,0.68975294,0.51325387,2.9522667,6.516991
YP_009137113.1,UL38,Late,Capsid/Triplex,-3.3984363,-0.9007577,4.8095303,5.6211743
YP_009137114.1,UL39,Early,Nucleotide Metabolism,2.1806498,3.3803298,2.1103456,5.2421436
YP_009137115.1,UL40,Early,Nucleotide Metabolism,-2.505456,7.7439537,3.567123,3.9278908
YP_009137116.1,UL41,Late,Host Shutoff,-2.7505558,5.393896,4.1457677,3.962837
YP_009137117.1,UL42,Early,DNA Replication/Processivity,2.3097434,-2.5011418,4.7193236,6.7397447
YP_009137118.1,UL43,Late,Envelope/Membrane,-6.096901,-2.375709,4.6242085,6.0172777
YP_009137119.1,UL44,Late,Glycoprotein/Attachment,-5.67719,-7.35937,6.2303367,5.144496
YP_009137120.1,UL45,Late,Envelope,-6.661107,-4.214005,5.521943,5.653679
YP_009137121.1,UL46,Late,Tegument,-0.66499066,-5.3669343,5.78116,6.7313123
YP_009137122.1,UL47,Late,Tegument,-2.7316523,-4.164688,4.3443666,6.874669
YP_009137123.1,UL48,Late,Tegument/Transactivator,4.7968273,0.006632141,2.9384625,5.8862367
YP_009137124.1,UL49,Late,Tegument/Major,-1.2284508,-9.419771,6.2275605,6.875519
YP_009137125.1,UL49A,Late,Glycoprotein/Entry,-5.855702,-0.33111003,4.9883065,6.0023656
YP_009137126.1,UL50,Early,Nucleotide Metabolism,-4.477302,-2.4109747,4.3196774,5.8042254
YP_009137127.1,UL51,Late,Tegument/Secondary Envelopment,5.0165524,-5.914035,5.2459908,7.473117
YP_009137128.1,UL52,Early,DNA Replication/Replication Fork,2.0655162,0.6942262,2.7077696,5.4473743
YP_009137129.1,UL53,Late,Glycoprotein/Entry & Fusion,-9.0690155,0.9418989,3.9587836,4.9434705
YP_009137130.1,UL54,Immediate-Early,RNA Export/Processing,1.6133765,-6.9589543,5.521887,7.541931
YP_009137131.1,UL55,Late,Nuclear Egress,-0.36739656,7.5170374,4.1122575,4.3895845
YP_009137132.1,UL56,Late,Pathogenicity/Egress,-1.9176726,-8.200124,6.399834,6.923932
YP_009137135.1,RS1,Immediate-Early,Regulatory/Transactivator,-2.7659988,-5.421876,4.5929737,7.2080483
YP_009137136.1,US1,Immediate-Early,Regulatory/Transactivator,2.5744996,-7.303096,5.984928,7.5884237
YP_009137137.1,US2,Late,Tegument/Immune Modulation,-0.2919345,-3.1953623,5.754263,5.072879
YP_009137138.1,US3,Early,Protein Kinase/Anti-apoptotic,-3.1125407,6.038336,4.106682,3.612271
YP_009137139.1,US4,Late,Glycoprotein/Entry,-6.4551263,-8.293866,6.40984,5.329619
YP_009137140.1,US5,Late,Glycoprotein/Immune Evasion,-7.8456607,-1.950686,4.5225654,5.8747444
YP_009137141.1,US6,Late,Glycoprotein/Primary Receptor Binding,-3.7991428,4.9325066,4.435993,4.211528
YP_009137142.1,US7,Late,Glycoprotein/Cell-to-Cell Spread,-5.317779,-7.1876507,6.0472765,5.0239406
YP_009137143.1,US8,Late,Glycoprotein/Cell-to-Cell Spread,-0.3558499,-6.5879216,6.1928983,5.749566
YP_009137144.1,US8A,Late,Tegument/Membrane,-2.6314166,-7.3535333,6.1961308,6.294241
YP_009137145.1,US9,Late,Tegument/Anterograde Transport,4.831241,-9.450155,6.361916,7.4323344
YP_009137146.1,US10,Late,Tegument,-6.854765,3.7865481,5.1717105,4.6380982
YP_009137147.1,US11,Late,RNA-binding/PKR Antagonist,-2.08563,-10.725636,6.461108,6.813128
YP_009137148.1,US12,Immediate-Early,Immune Evasion,0.087565884,-11.5227,5.9780664,7.297834
